Title,Company,Location,Salary,Seniority
"SAP CPI Consultant/Architect (m/f/d), Tietoevry Create",Tietoevry,Ukraine: Kyiv,,N/A
"Data Architect, Data & AI - Tietoevry Care (m/f/d)",Tietoevry,"Finland: Espoo, Jyväskylä, Oulu, Tampere, Kuopio",,N/A
Cloud Advisor - Tietoevry Tech Services,Tietoevry,"Finland: Espoo, Oulu, Lappeenranta, Kuopio, Jyväskylä, Turku, Tampere",,N/A
"Middle/Senior SAP QM Consultant (m/f/d), Tietoevry Create",Tietoevry,Ukraine: Kyiv,,Senior
IT Analyst (m/f/d),Tietoevry,Poland: Warsaw,,N/A
Microsoft Integration Consultant - Tietoevry Create m/f/d,Tietoevry,"Finland: Espoo, Jyväskylä, Oulu, Turku, Tampere, Kuopio",,N/A
Technical Presales Consultant (m/f/d),Tietoevry,Bulgaria: Sofia,,N/A
"Senior/Lead Test Automation Engineer (Java) ( m/f/d), Tietoevry Create",Tietoevry,Poland: Warsaw,,Senior
Application Performance Management Specialist (m/f/d),Tietoevry,Czech Republic: Ostrava,,N/A
