Title;Company;Location;Salary;Seniority
Back-End Developer (AI implementation);Emplonet, UAB;Vilnius;€ 4000 – 6000;Unspecified
IT specialistas;Karoliniškių poliklinika VŠĮ;Vilnius;€ 2740;Unspecified
Outperformer - Global Management Program: Business Track;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Unspecified
Engineering Leadership Development Program for Graduates;HILTI COMPLETE SYSTEMS, UAB;Vilnius / Remote;€ 2700 – 3300;Senior
IS specialistas I Technologijų skyrius;CENTRINĖ PROJEKTŲ VALDYMO AGENTŪRA VŠĮ;Vilnius / Remote;€ 2374 – 2963;Unspecified
Technologijų vadovas (-ė) (Microsoft produktams);Registrų centras, VĮ;Vilnius;€ 3520 – 5280;Unspecified
Senior recruiter - Regional coordinator;Digmatix;Vilnius / Remote;€ 3000 – 4000;Senior
IT Business Analyst;EUROAPOTHECA, UAB;Vilnius;€ 2800 – 3800;Unspecified
Large Language Modelling/Gen AI engineer;Accenture;Vilnius / Remote;€ 2600 – 5050;Unspecified
MLOps engineer;Accenture;Vilnius / Remote;€ 3300 – 5350;Unspecified
System Developer (RPA);Cognizant Lietuva;Vilnius;€ 3500 – 4420;Unspecified
Duomenų inžinierius (-ė) Duomenų valdymo departamente;Šiaulių bankas, AB;Vilnius / Remote;€ 3220 – 4830;Unspecified
Vyr. analitikas (-ė);Inovacijų agentūra, VšĮ;Vilnius / Remote;€ 3200 – 3500;Unspecified
Customer Support Specialist;MB Lumius;Vilnius;€ 1500 – 2200;Unspecified
IT Architektas (-ė);Kesko Senukai Lithuania, UAB;Kaunas;€ 5000 – 7500;Unspecified
IS pagalbos specialistas(-ė);Vilniaus universiteto ligoninės Santaros klinikos;Vilnius;€ 1800 – 2400;Unspecified
SAP EWM Functional analyst;Accenture;Vilnius;€ 3800 – 5200;Unspecified
SAP Financial accounting/Controlling functional analyst;Accenture;Vilnius;€ 3800 – 5200;Unspecified
"""Augantys lyderiai"" - apmokama praktika IT srityje";LTG;Vilnius;€ 1038;Unspecified
Senior Business Development Manager;Baltic Amadeus, UAB;Vilnius / Remote;€ 3300 – 5000;Senior
Product Owner (Loyalty System);EUROAPOTHECA, UAB;Vilnius;€ 3000 – 4500;Unspecified
Business consultant;Emplonet, UAB;Vilnius;€ 4958 – 6611;Unspecified
Software developer;Emplonet, UAB;Kaunas;€ 3750 – 5700;Unspecified
Quality Assurance Engineer;Emplonet, UAB;Kaunas;€ 2455 – 3306;Unspecified
Produkto vadovas (-ė);Emplonet, UAB;Kaunas;€ 3800 – 4000;Unspecified
