Title;Company;Location;Salary;Seniority
DATA ENGINEER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;Unspecified
Full - Stack Developer;FL Technics;Vilnius / Remote;€ 3400 – 4000;Unspecified
DATA ENGINEER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;Unspecified
DATA ENGINEER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;Unspecified
Data Engineer;FL Technics;Vilnius / Remote;€ 3500 – 4500;Unspecified
DATA ENGINEER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;Unspecified
IT TEAM/DELIVERY MANAGER (F/M/D);Ignitis Group;Vilnius;€ 4247 – 6370;Unspecified
IT Network Engineer;Avia Solutions Group;Vilnius / Remote;€ 3636 – 4462;Unspecified
Senior Cloud Data Engineer in HR IT, Corporate Functions | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Senior
DUOMENŲ VALDYSENOS (DATA GOVERNANCE) KOORDINATORĖ (-IUS);Ignitis Group;Vilnius;€ 3267 – 4900;Unspecified
Onsite Support Engineer;FL Technics;Vilnius;€ 2100 – 2500;Unspecified
Data Engineer to Savings Offering | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Unspecified
Google Cloud Platform Engineer | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;Unspecified
Google Cloud Platform Engineer | SEB, Kaunas;SEB;Kaunas;€ 2850 – 5450;Unspecified
Data Scientist;Avion Express;Vilnius / Remote;€ 4000 – 6612;Unspecified
HEAD OF INTEGRATIONS (F/M/D);Ignitis Group;Vilnius;€ 4247 – 6370;Senior
Senior .NET developer | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Senior
DevOps Engineer for Log Infrastructure | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;Unspecified
APPLICATION ARCHITECT (F/M/D);Ignitis Group;Vilnius / Remote;€ 4247 – 6370;Unspecified
.NET Backend Developer for high quality solutions | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Unspecified
JUNIOR ORACLE DEVELOPER (F/M/D);Ignitis Group;Vilnius;€ 2532 – 3800;Junior
Application Support specialist for Data Quality | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;Unspecified
IT INFRASTRUKTŪROS KOMANDOS VADOVĖ (-AS);Ignitis Group;Vilnius;€ 3594 – 5390;Unspecified
Java Developer for Event Driven Integration Team | SEB,Vilnius;SEB;Vilnius;€ 3650 – 5450;Unspecified
Sistemų administratorius (-ė);Alliance for Recruitment;Vilnius;€ 3000 – 4500;Unspecified
DevOps Engineer;Alliance for Recruitment;Kaunas;€ 6699 – 6700;Unspecified
Principal Site Reliability Engineer;Alliance for Recruitment;Vilnius;€ 6000 – 7000;Senior
IT PROJECT MANAGER (public sector);Alliance for Recruitment;Vilnius;€ 3300 – 5000;Unspecified
Java Back-end Developer;Alliance for Recruitment;Kaunas;€ 2803 – 5621;Unspecified
Power platform development lead;Alliance for Recruitment;Vilnius;€ 5500 – 6500;Senior
Java Solution Developer in Liquidity Risk Team;Alliance for Recruitment;Vilnius;€ 3650 – 5450;Unspecified
Įterptinių sistemų programuotojas (-a);Alliance for Recruitment;Vilnius;€ 3000 – 3700;Unspecified
SAP BI Data Engineer;Alliance for Recruitment;Vilnius;€ 3500 – 5000;Unspecified
Full Stack Developer;Alliance for Recruitment;Vilnius;€ 5000 – 8000;Unspecified
SAP BI Data Engineer;Alliance for Recruitment;Vilnius;€ 3500 – 5000;Unspecified
Data analyst;Alliance for Recruitment;Vilnius;€ 2300 – 3300;Unspecified
Product Owner (KYC/AML);Alliance for Recruitment;Vilnius;€ 3500 – 6500;Unspecified
Learning and Development Partner;Alliance for Recruitment;Vilnius;€ 3300 – 4000;Unspecified
Full Stack Programuotojas;Alliance for Recruitment;Kaunas;€ 3000 – 4300;Unspecified
