Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority,salary_range_pct
Technologijų vadovas (-ė) (Microsoft produktams),Technologijų vadovas (-ė) (Microsoft produktams),Vilnius,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,Other,Not Specified,50.0
Senior recruiter - Regional coordinator,Senior recruiter - Regional coordinator,Vilnius / Remote,€ 3000 – 4000,3000.0,4000.0,3500.0,1000.0,Senior/Lead Position,Senior,33.33333333333333
IT Business Analyst,IT Business Analyst,Vilnius,€ 2800 – 3800,2800.0,3800.0,3300.0,1000.0,Business Analyst,Not Specified,35.714285714285715
Large Language Modelling/Gen AI engineer,Large Language Modelling/Gen AI engineer,Vilnius / Remote,€ 2600 – 5050,2600.0,5050.0,3825.0,2450.0,Data Scientist,Not Specified,94.23076923076923
MLOps engineer,MLOps engineer,Vilnius / Remote,€ 3300 – 5350,3300.0,5350.0,4325.0,2050.0,Other,Not Specified,62.121212121212125
System Developer (RPA),System Developer (RPA),Vilnius,€ 3500 – 4420,3500.0,4420.0,3960.0,920.0,Software Developer,Not Specified,26.285714285714285
Vyr. analitikas (-ė),Vyr. analitikas (-ė),Vilnius / Remote,€ 3200 – 3500,3200.0,3500.0,3350.0,300.0,Data Analyst,Senior,9.375
Customer Support Specialist,Customer Support Specialist,Vilnius,€ 1500 – 2200,1500.0,2200.0,1850.0,700.0,IT Support,Not Specified,46.666666666666664
IT Architektas (-ė),IT Architektas (-ė),Kaunas,€ 5000 – 7500,5000.0,7500.0,6250.0,2500.0,Other,Not Specified,50.0
IS pagalbos specialistas(-ė),IS pagalbos specialistas(-ė),Vilnius,€ 1800 – 2400,1800.0,2400.0,2100.0,600.0,IT Support,Not Specified,33.33333333333333
SAP EWM Functional analyst,SAP EWM Functional analyst,Vilnius,€ 3800 – 5200,3800.0,5200.0,4500.0,1400.0,Other,Not Specified,36.84210526315789
SAP Financial accounting/Controlling functional analyst,SAP Financial accounting/Controlling functional analyst,Vilnius,€ 3800 – 5200,3800.0,5200.0,4500.0,1400.0,Other,Not Specified,36.84210526315789
Senior Business Development Manager,Senior Business Development Manager,Vilnius / Remote,€ 3300 – 5000,3300.0,5000.0,4150.0,1700.0,Senior/Lead Position,Senior,51.515151515151516
SAP ABAP developer,SAP ABAP developer,Vilnius / Remote,€ 3175 – 5400,3175.0,5400.0,4287.5,2225.0,Software Developer,Not Specified,70.07874015748031
SAP Integration Architect,SAP Integration Architect,Vilnius / Remote,€ 3175 – 5400,3175.0,5400.0,4287.5,2225.0,Other,Not Specified,70.07874015748031
Product Owner (Loyalty System),Product Owner (Loyalty System),Vilnius,€ 3000 – 4500,3000.0,4500.0,3750.0,1500.0,Product Owner,Not Specified,50.0
Business consultant,Business consultant,Vilnius,€ 4958 – 6611,4958.0,6611.0,5784.5,1653.0,Other,Not Specified,33.34005647438483
Software developer,Software developer,Kaunas,€ 3750 – 5700,3750.0,5700.0,4725.0,1950.0,Software Developer,Not Specified,52.0
Quality Assurance Engineer,Quality Assurance Engineer,Kaunas,€ 2455 – 3306,2455.0,3306.0,2880.5,851.0,QA Engineer,Not Specified,34.663951120162935
Produkto vadovas (-ė),Produkto vadovas (-ė),Kaunas,€ 3800 – 4000,3800.0,4000.0,3900.0,200.0,Product Owner,Not Specified,5.263157894736842
Produkto vadovas (-ė),Produkto vadovas (-ė),Vilnius,€ 3800 – 4000,3800.0,4000.0,3900.0,200.0,Product Owner,Not Specified,5.263157894736842
Vyr. IS administratorius (-ė),Vyr. IS administratorius (-ė),Vilnius,€ 3300 – 4500,3300.0,4500.0,3900.0,1200.0,IT Support,Senior,36.36363636363637
IT projektų specialistas(-ė),IT projektų specialistas(-ė),Vilnius / Remote,€ 2400 – 3600,2400.0,3600.0,3000.0,1200.0,Other,Not Specified,50.0
Software Engineer - Ruby on Rails,Software Engineer - Ruby on Rails,Vilnius,€ 3400 – 4500,3400.0,4500.0,3950.0,1100.0,Software Developer,Not Specified,32.35294117647059
Veiklos analitikas (-ė) (E-varžytynių ir aukcionų portalas),Veiklos analitikas (-ė) (E-varžytynių ir aukcionų portalas),Vilnius,€ 2175 – 3263,2175.0,3263.0,2719.0,1088.0,Data Analyst,Not Specified,50.02298850574712
Produkto vadovas (-ė) (E. sveikata),Produkto vadovas (-ė) (E. sveikata),Vilnius,€ 2628 – 3942,2628.0,3942.0,3285.0,1314.0,Product Owner,Not Specified,50.0
