Title;Company;Location;Salary;Seniority;Published;Expires;Skills;Job URL
Dėstytojas;Klaipėdos valstybinė kolegija;Klaipėda;€ 2160 – 2588;N/A;6 days ago;2025.06.05;N/A;https://www.cvonline.lt/en/vacancy/1366434/klaip-dos-valstybin-kolegija/d-stytojas
JUNIOR GIS SPECIALIST (F/M/D) I IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 1580 – 2371;Junior;6 days ago;2025.06.05;Have knowledge of publicly available GIS systems and ESRI solutions (e.g., ArcGIS, ArcGIS Online), Possess strong oral and written communication skills in English and Lithuanian, Demonstrate eagerness to learn, analytical skills, attention to detail, and initiative, Experience with task automation using ModelBuilder or Python;https://www.cvonline.lt/en/vacancy/1366422/ignitis-group/junior-gis-specialist-f-m-d-i-ignitis-renewables
Senior Systems Engineer - Storage and Backup;Moody's;Vilnius;€ 4200 – 6700;Senior;6 days ago;2025.06.05;5+ years experience managing production solutions in SAN, NAS and Backup technologies in the DELL portfolio of products., Strong knowledge and experience of SAN products PowerMAX & PowerFlex, Strong knowledge and experience of NAS products PowerScale & Unity, Strong knowledge and experience of Backup products PowerProtect & Avamar, Working Network Knowledge TCP/IP, Subnets, DNS etc, Experience investigating complex issues and performing corrective actions. Highly impactful problem-solving skills, track record in providing recovery leadership., Experience working with ITSM systems such as ServiceNow or Jira., Exceptional written and verbal communication skills., Desired - Industry Knowledge/Business Acumen, Desired - Experience with Git, Github, Azure DevOps or other version control systems., Desired - Experience with monitoring tools such as Nagios, Zenoss, LogicMonitor or similar.;https://www.cvonline.lt/en/vacancy/1366360/moody-s/senior-systems-engineer-storage-and-backup
Senior Cloud DevOps Engineer in Finance Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;6 days ago;2025.05.27;"At least 5 years of professional experience as a DevOps/Platform/Full-stack Engineer, or similar role in a technical environment, Experience with CI/CD Pipelines (GitHub Actions, Azure DevOps), Experience with Amazon Web Services (AWS), including managing cloud infrastructure with Terraform. Alternatively, experience working with other public cloud provider, Experience in application observability (Grafana, Prometheus), log aggregation (ELK) and related best practices, Experience with Python, Good understanding of development lifecycle process, willingness to learn new programming languages, tools, and processes, Advanced skills in English – both written and verbal, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1366278/danske-bank-lithuania/senior-cloud-devops-engineer-in-finance-tribe
Duomenų inžinierius (-ė) Duomenų valdymo departamente;AB Artea bankas;Vilnius / Remote;€ 3220 – 4830;N/A;6 days ago;2025.06.03;N/A;https://www.cvonline.lt/en/vacancy/1366217/ab-artea-bankas/duomen-inzinierius-duomen-valdymo-departamente
UX/UI Designer (Maternity cover);Danske Bank Lithuania;Vilnius;€ 2960 – 4440;N/A;6 days ago;2025.06.03;"Design high-quality digital investment experiences that cater to our clients needs and enhance user engagement, Collaborate and share knowledge with fellow designers within the tribe to drive continuous improvement, Collaborate with the Product Owner, business functional specialists, developers, and stakeholders to design remarkable mobile investment experiences, A minimum of 3 years of practical experience in delivering robust digital UI/UX solutions, Experience in conducting interviews and workshops with users, Familiarity with design systems and their application in creating cohesive user experiences, Strong organisational skills and the ability to work structuredly, delivering tasks in line with expectations and deadlines, Experience working within an agile team is advantageous, Upper-Intermediate English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1366115/danske-bank-lithuania/ux-ui-designer-maternity-cover
Software Engineer;GetJet Airlines, UAB;Vilnius;€ 2500 – 5000;N/A;6 days ago;2025.06.05;N/A;https://www.cvonline.lt/en/vacancy/1366095/getjet-airlines-uab/software-engineer
Veiklos analitikas (-ė) (Juridinių asmenų registras);Registrų centras, VĮ;Vilnius;€ 2175 – 3263;N/A;6 days ago;2025.06.05;N/A;https://www.cvonline.lt/en/vacancy/1366087/registr-centras-v/veiklos-analitikas-juridini-asmen-registras
Mid/Senior QA Engineer for Progress OpenEdge Unit;Baltic Amadeus, UAB;Vilnius / Remote;€ 2500 – 3800;Senior;6 days ago;2025.06.05;N/A;https://www.cvonline.lt/en/vacancy/1366022/baltic-amadeus-uab/mid-senior-qa-engineer-for-progress-openedge-unit
Senior Solution Architect for the Universal Capabilities Squad, Workflow Enablement;Danske Bank Lithuania;Vilnius;€ 5600 – 8400;Senior;6 days ago;2025.06.03;"3+ years of experience as a solution/software architect, Technical leadership experience for a particular domain or system, You are a great communicator and like managing, explaining, and socializing the target architecture and solution designs – you will need advanced communication and documentation skills, including the ability to create clarity for both business and technical stakeholders, You have knowledge and experience with Architectural Design and Modelling, Domain Driven Design, Design Patterns and CI-CD principles, Experience designing event-driven architectures, micro-services, and APIs, Solid development and coding experience (Java, full stack), building highly available and scalable solutions, Advanced English language skills, both written and spoken, Experience within the workflow domain / process orchestration is beneficial, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1365999/danske-bank-lithuania/senior-solution-architect-for-the-universal-capabilities-squad-workflow-enablement
Projektų koordinatorius (-ė) (teisiniai klausimai);AUGA;Vilnius;€ 2500 – 3000;N/A;7 days ago;2025.05.18;N/A;https://www.cvonline.lt/en/vacancy/1365804/auga/projekt-koordinatorius-teisiniai-klausimai
Senior Software Engineer;CAST AI Baltic, UAB;Vilnius / Remote;€ 6500 – 9000;Senior;7 days ago;2025.05.19;Strong software engineering skills with experience in distributed systems and backend development (ideally GoLang, but not a hard requirement as long as you're willing to transition to it), Strong debugging, optimization, and performance-tuning skills, Deep understanding of cloud platforms: hands-on experience with cloud platforms like AWS, Google Cloud Platform (GCP), Microsoft Azure, and tools such as Kubernetes for containerization and orchestration, CI/CD and DevOps practices experience, Strong English skills, both verbal and written, Competitive salary (€6,500 - €9,000 gross, depending on the level of experience) with equity options;https://www.cvonline.lt/en/vacancy/1365743/cast-ai-baltic-uab/senior-software-engineer
CityBee .NET Back-End Developer (Vilnius or Kaunas);Modus Mobility;Vilnius;€ 4100;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365738/modus-mobility/citybee-net-back-end-developer-vilnius-or-kaunas
Duomenų analitikė (-as);EPSO-G įmonių grupė;Vilnius;€ 2700 – 3500;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365698/epso-g-moni-grup/duomen-analitik-as
IT paslaugas teikiančios įmonės vadovas;Personalo valdymo inovacijos, UAB;Vilnius;€ 8265 – 10744;N/A;Renewed 7 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362725/personalo-valdymo-inovacijos-uab/it-paslaugas-teikiancios-mon-s-vadovas
Mid Level C++ Software Engineer;Emplonet, UAB;Vilnius;€ 3800 – 5000;Mid;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365445/emplonet-uab/mid-level-c-software-engineer
System (Azure) Administrator;Emplonet, UAB;Kaunas;€ 4132.24 – 4462.8;N/A;7 days ago;2025.06.04;Azure Resource Management - Basic understanding of deploying, configuring, and managing Azure resources, including virtual machines, storage accounts, virtual networks, and databases. Monitor and maintain system health to ensure high availability and reliability., Microsoft 365 Administration - Provide basic support and understanding of Microsoft 365 services, including user management, security policies, and collaboration tools., Dynamics 365 - Basic understanding of Dynamics 365 modules such as Customer Relationship Management (CRM) and Financial Operations., Intune - Basic understanding of Microsoft Intune for device management and endpoint security., Power Platform - Basic knowledge of PowerApps, Power Automate, and Power Virtual Agents for process automation and application development., Kubernetes - Fundamental understanding of container orchestration with Kubernetes for potential future implementations., 3+ years of experience in IT systems administration, including at least 1 year of hands-on Azure administration., Basic understanding of cloud networking concepts., Basic understanding of Dynamics 365, Intune, Power Platform, Power BI, Kubernetes, and Fabric., Strong organizational and communication skills with a detail-oriented mindset., Understanding in Microservice Architecture., Basic knowledge in DevOps operations (including Docker, Kubernetes, etc.)., Experience with specific cloud platforms (Azure etc.)., Experience with Azure monitoring tools (e.g., Azure Monitor, Log Analytics)., Knowledge of Entra ID and Identity Access Management (IAM)., Experience working with hybrid AD environments and cloud security best practices.;https://www.cvonline.lt/en/vacancy/1365444/emplonet-uab/system-azure-administrator
IS specialistas (-ė);Emplonet, UAB;Vilnius;€ 2900 – 3100;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365443/emplonet-uab/is-specialistas
Produkto vadovas (-ė);Emplonet, UAB;Vilnius;€ 3800 – 4000;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365441/emplonet-uab/produkto-vadovas
Vyr. IS administratorius (-ė);Emplonet, UAB;Vilnius;€ 3300 – 4500;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365439/emplonet-uab/vyr-is-administratorius
Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis);Inovacijų agentūra, VšĮ;Vilnius;€ 2800 – 3500;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365419/inovacij-agentura-vs/vyr-ekspertas-dirbtinis-intelektas-teis-s-sritis
Software Quality Engineer;Viltechmeda, UAB;Vilnius;€ 3000 – 3700;N/A;7 days ago;2025.06.04;Maintain up-to-date knowledge of regulatory requirements, international standards, and company QMS procedures for areas of responsibility., QA or engineering/development experience in a regulated industry., Working knowledge of regulatory requirements and international standards., Knowledge of Medical Device Directive and Regulation, ISO 13485, ISO 14971, IEC 62304 would be considered as beneficial., Knowledge in at least one of the following programming languages: C++, C#, Python., Software development experience would be considered as beneficial., Experience in automated testing techniques and tools would be considered as beneficial., Excellent knowledge of Lithuanian and English (both written and oral)., Good organization and time-management skills, and ability to work simultaneously on multiple projects., Understanding of risk management principles and practices., Experience in collection and analysis of quality metrics would be considered as beneficial.;https://www.cvonline.lt/en/vacancy/1365414/viltechmeda-uab/software-quality-engineer
Senior JAVA Developer for Pathway team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 6300;Senior;7 days ago;2025.06.04;Tracing: Implementing request tracing (e.g., Google Cloud Trace via Micrometer) and knowledge transfer., You have very good knowledge and experience in Java and Spring Boot., You have extensive experience with GCP / AWS or other cloud platforms., You have good verbal and written English skills., Experience with ReactJS would be an advantage., Interest and experience in e-commerce & software-as-a-service (SaaS) business models in the financial sector., Youll be working with the fields top-notch specialists and one of them will become your coach. 💪 Also here in Visma we have an international network of specialists within the organisation to build Your rep and skills even stronger., We have internal knowledge sharing sessions where we learn the newest trends in programming languages, QA, security, etc. 💻, Gross salary 3600-6300 EUR. 💸 Keep in mind that we are open to discuss your salary based on your competence and experience.;https://www.cvonline.lt/en/vacancy/1365395/visma-tech-uab/senior-java-developer-for-pathway-team
Techninės kontrolės inžinierius (-ė);Iremas, UAB;Jonava;€ 1600 – 3000;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365310/iremas-uab/technin-s-kontrol-s-inzinierius
Komercijos vadybininkas (-ė);Iremas, UAB;Jonava;€ 1700 – 3000;N/A;7 days ago;2025.06.04;N/A;https://www.cvonline.lt/en/vacancy/1365308/iremas-uab/komercijos-vadybininkas
IT Platform Engineer for MLOps (Machine Learning) Area;Danske Bank Lithuania;Vilnius;€ 3280 – 4920;N/A;Renewed 8 days ago;2025.05.15;"Minimum of 2 years of practical experience in MLOps platform to build model development deployment, execution and maintenance of ML pipelines, In-depth knowledge of AWS services and Databricks, Experience in CI/CD tools Terraform and container orchestration, Problem-solving and debugging skills, Understanding and practical experience with PubSub and Kafka streaming services would be beneficial, Upper-Intermediate English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1329455/danske-bank-lithuania/it-platform-engineer-for-mlops-machine-learning-area
Power Platform Developer;Avia Solutions Group;Vilnius / Remote;€ 2500 – 4950;N/A;10 days ago;2025.07.31;Stay up to date with the latest developments and features in the Power Platform ecosystem and apply this knowledge to improve solutions., Experienced in developing with Microsoft PowerApps and Power Automate., Knowledgeable about security and application lifecycle management., Experience customizing SharePoint Online., Experience with IT system integration (REST API, Web services)., Knowledge of Power Platform security models, including roles, user permissions, and environment management., Strong problem-solving skills and attention to detail.;https://www.cvonline.lt/en/vacancy/1365097/avia-solutions-group/power-platform-developer
Duomenų analitinių produktų grupės vadovas (-ė);Registrų centras, VĮ;Vilnius;€ 3161 – 4741;N/A;10 days ago;2025.05.16;N/A;https://www.cvonline.lt/en/vacancy/1365061/registr-centras-v/duomen-analitini-produkt-grup-s-vadovas
IT Project Manager;People Link, UAB;Kaunas;€ 4000 – 5000;N/A;10 days ago;2025.06.01;N/A;https://www.cvonline.lt/en/vacancy/1364922/people-link-uab/it-project-manager
Kibernetinių incidentų tyrimo analitikė (-as);LTG;Vilnius;€ 3230 – 4840;N/A;10 days ago;2025.05.16;N/A;https://www.cvonline.lt/en/vacancy/1364920/ltg/kibernetini-incident-tyrimo-analitik-as
SAP HR specialistas (-ė);Lidl Lietuva, UAB;Vilnius;€ 2245 – 2605;N/A;10 days ago;2025.06.01;N/A;https://www.cvonline.lt/en/vacancy/1364870/lidl-lietuva-uab/sap-hr-specialistas
Senior Finacial Data Engineer | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Senior;12 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1364590/seb/senior-finacial-data-engineer-or-seb-vilnius
Data Quality Engineer for Sustainable Banking| SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;N/A;12 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1364589/seb/data-quality-engineer-for-sustainable-banking-or-seb-vilnius
Public IT Tender Specialist;Baltic Amadeus, UAB;Vilnius / Remote;€ 2455 – 4132;N/A;12 days ago;2025.05.30;N/A;https://www.cvonline.lt/en/vacancy/1364505/baltic-amadeus-uab/public-it-tender-specialist
Head of IT Operations;FL Technics;Vilnius / Remote;€ 4000;Senior;12 days ago;2025.05.30;Own and continuously improve ITIL processes including Incident Management, Request Fulfillment, Problem Management, Change Management, and Knowledge Management., 5–8 years' experience leading IT Service Desk operations in a mid-to-large organization., Deep knowledge and hands-on experience with ITIL v3/v4 frameworks (certification preferred)., Strong leadership skills with the ability to motivate and develop high-performing teams., Excellent communication skills with a focus on service excellence and user experience., Experience with ITSM tools (e.g., ServiceNow, Jira Service Management)., Valuable experience in a dynamic and multinational environment., Exclusive experience to the aviation business industry.;https://www.cvonline.lt/en/vacancy/1364299/fl-technics/head-of-it-operations
Programinės įrangos inžinierius (-ė) .NET, C#;Viltechmeda, UAB;Vilnius;€ 3000 – 3600;N/A;12 days ago;2025.05.30;N/A;https://www.cvonline.lt/en/vacancy/1364288/viltechmeda-uab/programin-s-rangos-inzinierius-net-c
Software QA Engineer (manual);Viltechmeda, UAB;Vilnius;€ 2500 – 3000;N/A;12 days ago;2025.05.30;"Understanding functional and performance software requirements, participating in requirements analysis., Experience in manual testing;, Knowledge of testing methodology (ISTQB certificate or similar);, Good communication skills (verbal and written in English and Lithuanian);, We hire people not only for their skills but also for cultural fit. We value teamwork, openness & honesty, constant improvement, and meaningful impact., We offer a career path based on constant improvement and continuous development of your skills.";https://www.cvonline.lt/en/vacancy/1364287/viltechmeda-uab/software-qa-engineer-manual
Experienced Backend Engineer - Wix Blog;Wix.com, UAB;Vilnius;€ 3500 – 5000;N/A;12 days ago;2025.05.30;Learn new skills and work alongside top backend engineers, Share your knowledge and help the developer community grow, 2+ years of software development experience, Good teamwork, communication, and problem-solving skills;https://www.cvonline.lt/en/vacancy/1364113/wix-com-uab/experienced-backend-engineer-wix-blog
DevOps Engineer;Wix.com, UAB;Vilnius;€ 4500 – 6000;N/A;12 days ago;2025.05.30;Design and implement the next generation of tools to be used to be implemented to assure stability, increase velocity, and enhance users experience by optimizing the performance stack, 3+ years of experience working with live production systems, You have hands-on experience with Kubernetes as a cluster administrator., You have experience in Linux and are well-versed in networking fundamentals, Youve proven experience with AWS/GCP, You have strong knowledge of provisioning and configuration management systems (e.g., Terraform, Ansible, Chef, etc.), Youve experience with monitoring tools (Prometheus, Grafana), You have strong communication and collaboration skills, Advantage: You have experience or knowledge with CDN architecture, caching layers, varnish/nginx caching configuration.;https://www.cvonline.lt/en/vacancy/1364111/wix-com-uab/devops-engineer
Backend Engineer, Devex Platform;Wix.com, UAB;Vilnius;€ 2500 – 4000;N/A;12 days ago;2025.05.30;Plan, design, build, and maintain our systems while working closely with Wix developers to improve their day-to-day experience and eliminate velocity killers, Build and maintain highly scalable backend services providing unique CI/CD experiences to support Wixs code, 3+ years of experience in server-side technologies with in-depth understanding of SOLID principles, Good knowledge and interest in microservice architecture;https://www.cvonline.lt/en/vacancy/1364109/wix-com-uab/backend-engineer-devex-platform
Senior Backend Engineer – CTO Group;Wix.com, UAB;Vilnius;€ 5000 – 8000;Senior;12 days ago;2025.05.30;3+ years of experience as a backend developer, Experience with Java and Node.js, Knowledge of gRPC and Protobuf;https://www.cvonline.lt/en/vacancy/1364107/wix-com-uab/senior-backend-engineer-cto-group
Senior Data Platform Engineer for Data Platform Tribe;Danske Bank Lithuania;Vilnius;€ 4160 – 6240;Senior;12 days ago;2025.05.28;"At least 2-3 years of experience in a DevOps or infrastructure role, with a focus on data-oriented architectures, Knowledge of AWS or other public cloud data platforms, Backend development experience in Python or Java, Strong problem-solving skills and a willingness to handle diverse tasks, as the role involves minimal repetitive work, Experience implementing Databricks in an enterprise would be highly beneficial, Experience as a Data Engineer or Data Scientist is beneficial, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1364079/danske-bank-lithuania/senior-data-platform-engineer-for-data-platform-tribe
Senior IT Software Engineer;Danske Bank Lithuania;Vilnius;€ 4480 – 6720;Senior;12 days ago;2025.05.28;"At least 5 years of experience working with MS SQL Server, Experience in SQL query optimisation and performance metrics, Experience in SQL Server optimisation and performance management, Analytical skills and the ability to process complex information, Experience within database projects, partitions, indexes, Upper-Intermediate English skills, Experience with public cloud [AWS] and/or Databricks would be beneficial, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1364048/danske-bank-lithuania/senior-it-software-engineer
IT Platform Engineer within Data Management Support;Danske Bank Lithuania;Vilnius;€ 3280 – 4920;N/A;12 days ago;2025.05.28;"Solid experience with scripting languages, such as Linux command line (Bash) or similar tools like AWS CLI and Terraform, Experience with AWS development; alternatively, extensive Azure experience to facilitate transitioning to AWS, Understanding automation in scripted deployments, such as in CI/CD setups., Experience with Git in an enterprise setup, Upper-Intermediate English skills, both written and verbal, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1364047/danske-bank-lithuania/it-platform-engineer-within-data-management-support
Lead Site Reliability Engineer in Digital Processing | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6550;Senior;13 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1363876/seb/lead-site-reliability-engineer-in-digital-processing-or-seb-vilnius
Software Engineer (Java);Cognizant Lietuva;Vilnius / Remote;€ 3240 – 3810;N/A;13 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363717/cognizant-lietuva/software-engineer-java
Senior Data Scientist for Data Validation Team;Danske Bank Lithuania;Vilnius;€ 3440 – 5160;Senior;13 days ago;2025.05.20;"Knowledge of data architecture and IT infrastructure, controls, data flow and end user tools, Experience with process mapping and designing and testing effectiveness of controls, Advanced English knowledge skills, Minimum 4 years working experience in a role within data management, IT processes, process mapping or other related fields, Programming skills in SQL, SAS, Python or similar, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1363697/danske-bank-lithuania/senior-data-scientist-for-data-validation-team
IT pirkimų vyr. specialistas (-ė);Registrų centras, VĮ;Vilnius;€ 2376 – 3564;N/A;13 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363665/registr-centras-v/it-pirkim-vyr-specialistas
Senior .NET Software Engineer in Finance Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;13 days ago;2025.05.20;"Experience with Typescript and React, Knowledge of a Cloud Service Provider (AWS, Azure, Google Cloud), Understanding of CI/CD pipelines, Excellent problem-solving skills and algorithmic thinking, Experience with Infrastructure as Code (IaC), particularly Terraform, AWS, Docker, or workflow orchestration tools like AWS Step Functions or Apache Airflow is a plus, Advanced English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1363536/danske-bank-lithuania/senior-net-software-engineer-in-finance-tribe
Data Engineering Intern;Littelfuse LT;Kaunas;€ 1200 – 1400;Junior;13 days ago;2025.05.29;Fixed term opportunity to gain experience and understand the overall concept of Data Engineer, Student in Mathematics, IT, business management studies, interested in gaining hands-on experience, Knowledge of SQL and Power BI, Great English skills (written and verbal), Strong analytical skills and high attention to detail;https://www.cvonline.lt/en/vacancy/1363510/littelfuse-lt/data-engineering-intern
IT Security Intern;Littelfuse LT;Kaunas;€ 1200 – 1400;Junior;13 days ago;2025.05.29;Kick-start your career in a truly global company and gain hands-on experience in IT Security Operations, Engineering and Compliance, Strong analytical skills and high attention to detail;https://www.cvonline.lt/en/vacancy/1363492/littelfuse-lt/it-security-intern
Product Engineer;AS Inbank filialas;Vilnius;€ 3000 – 5000;N/A;13 days ago;2025.05.29;At least 3 years of previous working experience as a Software Developer or in a similar position, Strong knowledge of back-end development and understanding of design patterns, Experience with SQL, Excellent communication skills in written and spoken English, Experience in the financial sector is considered a bonus, but not a must., Experience in test automation is considered a bonus, but not a must., We offer a competitive salary that is based on your experience level and a great benefits package (3K-5K EUR gross, depending on experience and interview performance);https://www.cvonline.lt/en/vacancy/1363485/as-inbank-filialas/product-engineer
Chief DevOps Specialist for SDLC and Standards;Danske Bank Lithuania;Vilnius;€ 5600 – 8399;N/A;13 days ago;2025.05.28;"At least 7 years of professional experience as a DevOps/Platform/Full-stack Engineer, or similar role in a technical environment, Extensive DevOps expertise with both broad and detailed understanding, Experience with CI/CD Pipelines (GitHub Actions, Azure DevOps, Drone.io), Experience with containers platforms (Docker or OpenShift) and orchestration (Swarm or Kubernetes), Experience with Windows, Linux, Infrastructure Provisioning & Orchestration (Terraform or Ansible) and Cloud Services (AWS, Azure or GCP), Experience in application observability (Grafana, Prometheus, AppDynamics), log aggregation (Splunk, ELK) and related best practices, Experience with creating high quality documentation and inspirational presentations, Excellent communication and stakeholder management skills, Financial services knowledge is a plus, Advanced English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1363416/danske-bank-lithuania/chief-devops-specialist-for-sdlc-and-standards
Produkto savininkas (-ė) (turintis (-i) pavaldžių žmonių);Emplonet, UAB;Vilnius;€ 2708 – 4062;N/A;13 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363354/emplonet-uab/produkto-savininkas-turintis-i-pavaldzi-zmoni
Business Analyst;FL Technics;Vilnius / Remote;€ 3300 – 3650;N/A;13 days ago;2025.05.30;"Bachelor's degree in Business Management, Administration, Finance, IT, Economics, Data Analytics, or equivalent experience., 2–3 years of experience in IT Business Analysis., Strong analytical, organizational, and problem-solving skills., Excellent communication and collaboration skills., IT and/or aviation industry experience is an advantage., Understanding of Agile methodologies and best practices., Experience in process modeling and documentation (BPMN, UML, or other diagramming techniques)., Exclusive experience to the aviation business industry;, Competitive salary range, final offer will be proposed based on your experience and competencies.";https://www.cvonline.lt/en/vacancy/1363349/fl-technics/business-analyst
Microsoft D365 Finansų/SCM sprendimų konsultantas;GO-ERP, UAB;Vilnius / Remote;€ 3305 – 4958;N/A;13 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363230/go-erp-uab/microsoft-d365-finans-scm-sprendim-konsultantas
Microsoft D365 Finansų/SCM sprendimų konsultantas;GO-ERP, UAB;Vilnius / Remote;€ 3305 – 4958;N/A;13 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363230/go-erp-uab/microsoft-d365-finans-scm-sprendim-konsultantas
IS analyst-tester;ADB „Gjensidige“;Vilnius;€ 2415 – 3622;N/A;13 days ago;2025.05.20;N/A;https://www.cvonline.lt/en/vacancy/1363216/adb-gjensidige/is-analyst-tester
MS SQL Solution Developer in Accounting Tribe | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;N/A;14 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1362998/seb/ms-sql-solution-developer-in-accounting-tribe-or-seb-vilnius
Scrum Master/Team Coach;"""Swedbank"", AB";Vilnius;€ 4100 – 6100;N/A;14 days ago;2025.05.12;"Relevant experience in agile leadership for at least a couple of years;, Demonstrated leadership and excellent communication (to both technical and non-technical audiences) skills;, Experience working with Atlassian products (JIRA, Confluence) would be an advantage;";https://www.cvonline.lt/en/vacancy/1362898/swedbank-ab/scrum-master-team-coach
Projektų vadovas/inžinierius;Ortho Baltic, UAB;Kaunas;€ 2500 – 3000;N/A;14 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362788/ortho-baltic-uab/projekt-vadovas-inzinierius
Data Analytics Intern;Continental Tires Business Services, UAB;Kaunas;€ 1160;Junior;14 days ago;2025.05.28;"Knowledge of PowerBI (priority) Optional: SQL KNIME Python, Good English skills (speaking, listening, reading, and writing);, Good computer skills, Microsoft Office package;, Communication skills;, Organizational and time management skills.";https://www.cvonline.lt/en/vacancy/1362858/continental-tires-business-services-uab/data-analytics-intern
IT sprendimų vadovė (-as);Regitra, AB;Vilnius;€ 2350 – 3000;N/A;14 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362830/regitra-ab/it-sprendim-vadov-as
Linux System Administrator;EUROAPOTHECA, UAB;Vilnius;€ 3500 – 4400;N/A;14 days ago;2025.05.28;Deep knowledge and hands-on experience with Linux (e.g Centos, AlmaLinux), Experience working with Docker and container orchestration platforms (e.g. Kubernetes), Experience with web systems, such as Apache, Nginx, Experience with databases clusters such as MySQL, PostgreSQL, etc., Experience with monitoring and logging systems, such as Zabbix, Grafana, Experience with High Availability/ Load Balanced solutions, Experience with automation/configuration management tools such as Ansible, Experience working with enterprise storage systems, Knowledge of managing systems and Atlassian applications (Jira/Confluence/Bamboo/Bitbucket), Hands-on experience with implementing and managing Disaster Recovery Solutions, Knowledge and hands-on experience with Networks (Firewall, LAN, VPN, Wi-Fi, Load balancers and Security), Good verbal and written communication skills in English and Lithuanian, Salary based on your competencies and experience (3500 - 4400 Eur Gross per month);https://www.cvonline.lt/en/vacancy/1362823/euroapotheca-uab/linux-system-administrator
Marketing Manager;Digmatix;Vilnius / Remote;€ 3000 – 3500;N/A;14 days ago;2025.05.28;Minimum of 2 years of experience in digital marketing and general marketing roles., Excellent English skills, both - written and spoken., Strong understanding of digital marketing strategies and tools., Excellent written and verbal communication skills., Strong project management skills with the ability to lead multi-disciplinary projects., Creative thinking and problem-solving skills., Experience in managing social media ad campaigns., Knowledge of SEO and PR strategies.;https://www.cvonline.lt/en/vacancy/1362763/digmatix/marketing-manager
