Title;Company;Location;Salary;Seniority;Published;Expires;Skills;Job URL
SAP Financial accounting/Controlling functional analyst;Accenture;Vilnius;€ 3800 – 5200;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369243/accenture/sap-financial-accounting-controlling-functional-analyst
Manual Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2000 – 4000;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369239/people-link-uab/manual-quality-assurance-engineer
Automated Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2500 – 5000;N/A;about 3 hours ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1369238/people-link-uab/automated-quality-assurance-engineer
Head of Network Reliability and Optimization;Danske Bank Lithuania;Vilnius;€ 5760 – 8640;Senior;about 4 hours ago;2025.06.09;"Bachelors degree in engineering, computer science, or a related field, or equivalent practical experience, Extensive experience in public cloud technologies, with a track record of running effective operations across cloud environments, Over 5 years of technical experience in networking and infrastructure, coupled with 3+ years of leadership experience, Strong expertise in network domains, with broader infrastructure knowledge and insights into application environments, Value teamwork, sharing and expanding knowledge, and analyzing failures as opportunities for improvement, Advanced English language skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1369233/danske-bank-lithuania/head-of-network-reliability-and-optimization
Java Engineer in Advisory, Org data and Groups;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;about 4 hours ago;2025.05.28;"Experience (2+ years) with Java and MS SQL, Experience with Spring Boot, Experience with RabbitMQ or Kafka, Knowledge of ELK, Knowledge of AWS, Knowledge of Docker, Advanced English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1369232/danske-bank-lithuania/java-engineer-in-advisory-org-data-and-groups
Telecom Engineer Ukraine;Belam - Riga SIA;Vilnius;€ 3000;N/A;Renewed about 5 hours ago;2025.05.25;Experience in working with radio communication systems shall be considered as an advantage., Skills and experience in working with modern communications systems., Practical work experience of on-site installation, testing and commissioning of communications systems., Basic knowledge of radio communications and experience with antenna feeder systems shall be considered an advantage.;https://www.cvonline.lt/en/vacancy/1361668/belam-riga-sia/telecom-engineer-ukraine
Senior Full Stack Developer in Process Information Management;Danske Bank Lithuania;Vilnius;€ 4400 – 6600;Senior;Renewed about 5 hours ago;2025.05.15;"4 + years of experience in Full stack development, Experience with server-side frameworks, specifically .Net, Experience in developing and maintaining SharePoint applications and solutions would be beneficial, Experience with API Connect for managing APIs and event-driven architectures, Experience in implementing and managing CI/CD pipelines to enhance software development workflows, Experience with cloud platforms, particularly AWS (would be beneficial) or Azure, Strong analytical and problem-solving skills with the ability to resolve complex software issues, Advanced English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1358026/danske-bank-lithuania/senior-full-stack-developer-in-process-information-management
Full Stack Developer in Process Information Management;Danske Bank Lithuania;Vilnius;€ 3440 – 5160;N/A;Renewed about 5 hours ago;2025.05.13;"2+ years of experience in Full stack development, Experience with server-side frameworks, specifically .Net, Basic experience in developing and maintaining SharePoint applications and solutions (would be beneficial), Experience with API Connect for managing APIs and event-driven architectures, Experience in supporting the implementation and management of CI/CD pipelines, Experience with cloud platforms, particularly AWS (would be beneficial) or Azure, Strong analytical and problem-solving skills with the ability to resolve complex software issues, Advanced English language skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1356862/danske-bank-lithuania/full-stack-developer-in-process-information-management
Senior Software Engineer (.NET) in Markets Analytics Platform Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;Renewed about 5 hours ago;2025.05.14;"At least 4 years of experience in .NET, Experience designing event driven architectures, APIs, Motivation to share knowledge and mentor junior colleagues, Experience working with highly available distributed systems, Good communication skills, Advanced English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1356404/danske-bank-lithuania/senior-software-engineer-net-in-markets-analytics-platform-tribe
Senior IT Solution Architect for Pay Transparency Program;Danske Bank Lithuania;Vilnius;€ 5440 – 8160;Senior;Renewed about 5 hours ago;2025.06.04;"Expertise in HCM Systems: Extensive experience with HCM systems, preferably Oracle HCM, Experience in IT: A solid background in the IT field, with experience in delivering complex projects, Solution-Oriented Approach: Demonstrated experience in managing solution design with a focus on practical and effective outcomes, Stakeholder Collaboration: Effective capabilities in collaborating with senior stakeholders and leaders to align architectural solutions with organizational goals. You are adept at understanding and integrating diverse perspectives into the decision-making process, Communication and Problem-Solving Skills: Excellent communication, negotiation, and interpersonal skills are essential, as well as the ability to address complex problems and manage demanding situations adeptly, Project Management: Experience and proficiency in working with both agile and waterfall methodologies, Advanced English language skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1274225/danske-bank-lithuania/senior-it-solution-architect-for-pay-transparency-program
