Title;Company;Location;Salary;Seniority;Published;Expires;Skills
Vyr. testuotojas (-a) / Senior tester;Registrų centras, VĮ;Vilnius;€ 2376 – 3564;Senior;2 days ago;2025.06.02;N/A
Saugumo procesų vadybininkas (-ė);Oro navigacija, AB;Vilnius / Remote;€ 3100 – 3602;N/A;2 days ago;2025.06.13;N/A
Kompetencijų centro pilotas(-ė) – operatorius(-ė) (20 val./per savaitę);Oro navigacija, AB;Vilnius;€ 1032 – 1194;N/A;2 days ago;2025.06.13;N/A
DYNAMICS 365 FINANCE AND OPERATIONS (AX) KONSULTANTĖ (-AS);Ignitis Group;Vilnius;€ 3066 – 4599;N/A;2 days ago;2025.05.31;N/A
Senior Systems Engineer - Windows Server;Moody's;Vilnius;€ 4200 – 6700;Senior;2 days ago;2025.06.13;aws, azure, ansible, ai, windows server, dns
Flight Software Engineer;SIA Origin Robotics;Latvia;€ 3000 – 6000;N/A;2 days ago;2025.06.13;python, c++, ai
Finansų tarnybos Duomenų analizės skyriaus vyriausiasis (-ioji) analitikas (-ė);Mykolo Romerio Universitetas;Vilnius;€ 1992 – 2696;N/A;2 days ago;2025.06.13;N/A
Analitikas (-ė);VšĮ Medijų rėmimo fondas;Vilnius / Remote;€ 2200 – 2600;N/A;2 days ago;2025.05.28;N/A
Vyr. duomenų analitikas (-ė) (statistikos, duomenų mokslo sritys);Registrų centras, VĮ;Lithuania / Remote;€ 2628 – 3942;N/A;2 days ago;2025.06.13;N/A
IT TESTUOTOJA (-AS);Ignitis Group;Vilnius;€ 2240 – 3361;N/A;2 days ago;2025.06.13;N/A
Įmonės direktorius (-ė) (IT paslaugas teikianti įmonė);Personalo valdymo inovacijos, UAB;Vilnius;€ 8265 – 10744;N/A;Renewed 2 days ago;2025.05.23;N/A
Tech Lead / Solution Architect in Mobile Team | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6550;Senior;3 days ago;2025.06.15;N/A
B2B Sales Manager;Sopena Group (Baltic);Vilnius;€ 2000 – 3500;N/A;3 days ago;2025.06.12;N/A
IT ANALITIKĖ (-AS);Ignitis Group;Vilnius;€ 2379 – 3568;N/A;3 days ago;2025.06.12;N/A
INTEGRACIJŲ INŽINERIJOS PLĖTROS VADOVĖ (-AS) (SCRUM MASTER);Ignitis Group;Vilnius;€ 3466 – 5199;N/A;3 days ago;2025.05.30;N/A
Vyriausiasis finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 4000 – 4800;N/A;3 days ago;2025.06.12;N/A
Finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 3000 – 3800;N/A;3 days ago;2025.06.12;N/A
Produkto vadovas (-ė) (MS Dynamics 365 Business central);Registrų centras, VĮ;Vilnius;€ 2628 – 3942;N/A;3 days ago;2025.06.12;N/A
Back-End Engineer (fixed term);Kilo Health - UAB Kilo grupė;Vilnius / Remote;€ 5000 – 7000;N/A;3 days ago;2025.06.12;php, sql, mysql, postgresql, spark
Finance System Administrator;People Link, UAB;Kaunas;€ 2900 – 3600;N/A;3 days ago;2025.06.12;N/A
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis Group;Kaunas;€ 2641 – 3962;Senior;3 days ago;2025.05.28;docker, kubernetes, azure, ai, git, linux
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis Group;Kaunas;€ 2641 – 3962;Senior;3 days ago;2025.05.28;docker, kubernetes, azure, ai, git, linux
Duomenų tinklo administratorė (-ius);EPSO-G įmonių grupė;Vilnius;€ 3300 – 4200;N/A;3 days ago;2025.06.12;N/A
Embedded Software Developer;Light Conversion, UAB;Vilnius;€ 3000 – 5600;N/A;Renewed 3 days ago;2025.06.05;c++
ETL programuotojas(-a)/ duomenų inžinierius(-ė);Paspara, UAB;Vilnius / Remote;€ 2500 – 4200;N/A;3 days ago;2025.06.12;N/A
Pardavimų projektų vadovas (-ė);Novian Pro;Vilnius;€ 2900 – 3600;N/A;3 days ago;2025.06.12;N/A
IT Vyresnysis specialistas (-ė);Vilniaus universiteto ligoninės Santaros klinikos;Vilnius;€ 3000;N/A;4 days ago;2025.06.11;N/A
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis Group;Kaunas;€ 2641 – 3962;Senior;4 days ago;2025.05.28;docker, kubernetes, azure, ai, git, linux
IT paslaugas teikiančios įmonės vadovas;Personalo valdymo inovacijos, UAB;Vilnius;€ 8265 – 10744;N/A;Renewed 4 days ago;2025.05.28;N/A
Senior RPA developer;Cognizant Lietuva;Vilnius;€ 4050 – 5130;Senior;4 days ago;2025.06.11;N/A
System Developer (RPA);Cognizant Lietuva;Vilnius;€ 3500 – 4420;N/A;4 days ago;2025.06.11;N/A
Mid/Senior C++/Qt Engineer;Quadigi, UAB;Kauno apskritis / Remote;€ 3500 – 6300;Senior;4 days ago;2025.06.11;go, ai
Senior/Principal C++/Qt Engineer;Quadigi, UAB;Kaunas / Remote;€ 4000 – 6800;Senior;4 days ago;2025.06.11;go, ai
Data Engineer;Avia Solutions Group;Vilnius / Remote;€ 3350 – 5000;N/A;4 days ago;2025.08.10;python, sql, spark
MLOps engineer;Accenture;Vilnius / Remote;€ 3300 – 5350;N/A;Renewed 4 days ago;2025.06.04;N/A
Large Language Modelling/Gen AI engineer;Accenture;Vilnius / Remote;€ 2600 – 5050;N/A;Renewed 4 days ago;2025.06.04;N/A
Data Analyst for Risk & Procurement team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5000;N/A;4 days ago;2025.06.11;sql, ai
.NET Developer for Idella team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5500;N/A;4 days ago;2025.06.11;c#, go, azure, devops, agile
Junior Data Management Consultant;EY;Vilnius / Remote;€ 2000 – 2700;Junior;4 days ago;2025.06.11;N/A
AI Engineer;Emplonet, UAB;Kaunas;€ 5800 – 7500;N/A;4 days ago;2025.06.11;machine learning, ai, tensorflow, pytorch
Technical Support Specialist (French);QDev Technologies, UAB;Vilnius / Remote;€ 2200 – 2700;N/A;4 days ago;2025.06.11;sql, ai, git
Salesforce Administrator;Emplonet, UAB;Vilnius;€ 2500 – 3500;N/A;4 days ago;2025.06.11;devops
Service Delivery Manager (IT Network company);People Link, UAB;Vilnius;€ 3500 – 5000;N/A;4 days ago;2025.06.11;N/A
SAP EWM Functional analyst;Accenture;Vilnius;€ 3800 – 5200;N/A;4 days ago;2025.06.11;N/A
SAP Financial accounting/Controlling functional analyst;Accenture;Vilnius;€ 3800 – 5200;N/A;4 days ago;2025.06.11;N/A
Manual Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2000 – 4000;N/A;4 days ago;2025.06.11;N/A
Automated Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2500 – 5000;N/A;4 days ago;2025.06.11;N/A
