Title;Company;Location;Salary;Seniority;Published;Expires;Skills
DI sprendimų architektas (-ė);City Service, UAB;Vilnius / Remote;€ 5000 – 7500;N/A;18 days ago;2025.05.28;N/A
DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!;Mano būstas, UAB;Vilnius;€ 4000 – 5500;N/A;18 days ago;2025.05.28;N/A
Product Security Specialist;Quadigi, UAB;Vilnius / Remote;€ 3800 – 5600;N/A;18 days ago;2025.05.28;ai, cybersecurity, penetration testing
Full-Stack Developer Internship;Present Connection, UAB;Kaunas / Remote;€ 1;Junior;19 days ago;2025.05.27;go, ai
Workflow Solution Developer in Digital Processing | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;N/A;21 days ago;2025.06.15;N/A
QA Engineer;NRD Companies;Vilnius / Remote;€ 2200 – 3700;N/A;21 days ago;2025.05.25;go, ai
.NET programuotojas;NRD Companies;Vilnius / Remote;€ 4000 – 5400;N/A;21 days ago;2025.05.25;java, javascript, sql, html, css, express
IT specialistas (-ė);Allianz Lietuva gyvybės draudimas UAB;Vilnius;€ 1700 – 2400;N/A;21 days ago;2025.05.25;N/A
Senior Front-End Engineer;Kilo Health - UAB Kilo grupė;Vilnius;€ 5520 – 6000;Senior;21 days ago;2025.05.25;react, spark
Front-End Engineer;Kilo Health - UAB Kilo grupė;Vilnius;€ 3120 – 4030;N/A;21 days ago;2025.05.25;react, spark
PHP programuotoja (-as);Blue Bridge grupė;Vilnius / Remote;€ 3000 – 4800;N/A;21 days ago;2025.05.25;N/A
Junior Android Developer in the Omnichannel Unit;Baltic Amadeus, UAB;Kaunas;€ 1100 – 2900;Junior;21 days ago;2025.05.25;N/A
Cyber Security Consultant;EY;Vilnius;€ 2000 – 2700;N/A;21 days ago;2025.05.25;N/A
Full Stack Engineer;People Link, UAB;Vilnius;€ 4400 – 4900;N/A;21 days ago;2025.05.25;N/A
IT skaitmenizacijos vadovas (-ė);Newsec Property Management LT, UAB;Vilnius;€ 4960 – 5785;N/A;21 days ago;2025.05.25;N/A
Java developer ready to develop the digital services of tomorrow | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;N/A;22 days ago;2025.06.15;N/A
Senior Service (Systems) Owner;QDev Technologies, UAB;Vilnius / Remote;€ 3500 – 4500;Senior;22 days ago;2025.05.24;go, less, ai, git
AI Backend Engineer;CV-Online klientas;Kaunas;€ 3200 – 4200;N/A;22 days ago;2025.05.24;python, go, sql, nosql, django, flask, docker, kubernetes, machine learning, ai, ci/cd, git
AI Front-End Engineer;CV-Online klientas;Kaunas;€ 3000 – 4000;N/A;22 days ago;2025.05.24;machine learning, ai, ci/cd, git
Chief Technology Officer (CTO);Eleving Group;Vilnius;€ 6000 – 10000;N/A;22 days ago;2025.05.24;N/A
IT Systems Administrator;Avion Express;Vilnius;€ 3500 – 4100;N/A;22 days ago;2025.06.23;azure, ai, windows server, networking, tcp/ip, dns, vpn
Tinklo inžinierius (-ė);Kauno technologijos universitetas;Kaunas;€ 2600 – 2925;N/A;22 days ago;2025.05.24;N/A
Business Analyst - Problem Management;Moody's;Vilnius;€ 3500 – 5600;N/A;22 days ago;2025.05.24;go, ai, unix, networking
Business and Functional Specialist in Advisory Overview Squad;Danske Bank Lithuania;Vilnius;€ 2880 – 4320;N/A;23 days ago;2025.06.12;N/A
PERFORMANCE DATA ANALYST (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2401 – 3602;N/A;23 days ago;2025.05.23;go, ai
Dirbtinio intelekto diegimo vadovas (-ė);People Link, UAB;Vilnius;€ 5500 – 7400;N/A;23 days ago;2025.05.23;N/A
Control Software Developer;Emplonet, UAB;Kaunas;€ 2500 – 5500;N/A;23 days ago;2025.05.23;N/A
Experienced Frontend Engineer - Wix Forms;Wix.com, UAB;Vilnius;€ 3000 – 8000;N/A;23 days ago;2025.05.23;go, ai
Dirbtinio Intelekto Inžinierius (-ė);People Link, UAB;Vilnius;€ 4000 – 5500;N/A;23 days ago;2025.05.23;N/A
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė);OIXIO, UAB;Vilnius / Remote;€ 3000 – 3700;N/A;23 days ago;2025.05.23;N/A
Network Engineer;Wix.com, UAB;Vilnius;€ 5500 – 8000;N/A;23 days ago;2025.05.23;docker, kubernetes, terraform, ansible, ai, linux, networking, tcp/ip, dns
Priežiūros specialistas (-ė);ADB „Gjensidige“;Vilnius;€ 1781 – 2671;N/A;23 days ago;2025.05.16;N/A
TEAM LEAD OF IT SYSTEMS ANALYSIS;Ignitis Group;Vilnius;€ 3594 – 5390;Senior;24 days ago;2025.05.31;sql
PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS);UAB „Energus Group“;Vilnius;€ 2455 – 3801;N/A;24 days ago;2025.05.22;N/A
IS plėtros skyriaus vadovas (-ė);Emplonet, UAB;Vilnius;€ 3602 – 5900;N/A;24 days ago;2025.05.22;N/A
Junior Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 3416 – 4666;Junior;24 days ago;2025.05.22;go, azure, ai
Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 3958 – 5416;N/A;24 days ago;2025.05.22;go
Mid-Level Full-Stack Developer (React + .NET);UAB „Energus Group“;Vilnius;€ 3306 – 4959;Mid;24 days ago;2025.05.22;java, javascript, c++, go, sql, react
Vyr. programuotojas (-a) (JAVA);Registrų centras, VĮ;Vilnius;€ 2880 – 4320;N/A;24 days ago;2025.05.22;N/A
Vyr. programuotojas (-a) (.NET technologija);Registrų centras, VĮ;Vilnius;€ 2880 – 4320;N/A;24 days ago;2025.05.22;N/A
Duomenų inžinierius(-ė)/Data Engineer;Metso Global Business Services, UAB;Šiauliai;€ 2500 – 3200;N/A;24 days ago;2025.05.22;N/A
IT Infrastructure Team Lead;FL Technics;Vilnius / Remote;€ 5000 – 5800;Senior;24 days ago;2025.05.22;N/A
AI DEVELOPER;UAB „Energus Group“;Vilnius;€ 3306 – 4959;N/A;24 days ago;2025.05.22;python, ai
AI Engineer;EY;Vilnius / Remote;€ 2100 – 4000;N/A;24 days ago;2025.05.22;N/A
.NET developer;Elgama-Elektronika, UAB;Kaunas;€ 2800 – 4000;N/A;24 days ago;2025.05.22;sql, rest api
IT sistemų specialistas (-ė);Emplonet, UAB;Vilnius;€ 2454 – 2806;N/A;24 days ago;2025.05.22;N/A
JAVA developer for Roxit team;Visma Tech, UAB;Vilnius / Remote;€ 1600 – 4600;N/A;24 days ago;2025.05.22;java, sql, postgresql, spring, docker, kubernetes, agile
Back-End Software developer (Java);Emplonet, UAB;Kaunas;€ 4600 – 5500;N/A;24 days ago;2025.05.22;java, redis, spring, docker, kubernetes, spark, kafka
E. komercijos asistentė (-as) Utenoje;Telemarketing, UAB;Utena;€ 1800;N/A;28 days ago;2025.05.18;N/A
.NET Software Engineer in Welcoming and Orchestration Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;28 days ago;2025.05.16;c#, go, sql, docker, kubernetes, ai, kafka
Chief DevOps Engineer;Danske Bank Lithuania;Vilnius;€ 5600 – 8400;N/A;28 days ago;2025.05.16;c#, go, aws, azure, ai, devops, ci/cd, git, github
Senior Business Analyst for Agent Foundry Team;Danske Bank Lithuania;Vilnius;€ 3600 – 5400;Senior;28 days ago;2025.05.16;ai, agile, scrum
Test automation specialist in Custody Cash team | SEB, Vilnius | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;N/A;29 days ago;2025.06.15;N/A
Automation Engineer with Power Platform experience | SEB, Vilnius;SEB;Vilnius;€ 2200 – 3400;N/A;29 days ago;2025.06.15;N/A
Front-End Engineer (React Native) in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 3360 – 5040;N/A;29 days ago;2025.05.21;kotlin, react, ai, agile
QA Engineer (opportunity to become a back-end developer) for Hubble team;Visma Tech, UAB;Vilnius / Remote;€ 3000 – 4100;N/A;29 days ago;2025.05.17;go, angular, docker, azure, ci/cd
Senior Security Windows Server technician | SEB, Vilnius;SEB;Vilnius;€ 3000 – 4500;Senior;30 days ago;2025.06.15;N/A
Cloud Data Engineer in HR IT, Corporate Functions | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;N/A;30 days ago;2025.06.15;N/A
Junior System Administrator;Quadigi, UAB;Kaunas;€ 2000 – 2800;Junior;30 days ago;2025.05.16;go, ai, linux, windows server
Sales Manager;Ridango AS;Lithuania;€ 3300 – 4400;N/A;30 days ago;2025.05.16;N/A
Database Administrator;BIGBANK AS filialas;Vilnius / Remote;€ 3900 – 7768;N/A;30 days ago;2025.05.16;sql, postgresql
DevOps Engineer for Hubble team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 6300;N/A;about 1 month ago;2025.05.16;go, docker, kubernetes, azure, terraform, ci/cd, networking
Senior Cloud Platform Engineer;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;about 1 month ago;2025.05.28;python, java, javascript, c#, react, docker, kubernetes, aws, terraform, ai, ci/cd
Intermediate Digital Marketing Manager;Deep Media Technologies;Vilnius / Remote;€ 2400 – 3000;N/A;about 1 month ago;2025.05.16;N/A
Junior Digital Marketing Manager;Deep Media Technologies;Vilnius / Remote;€ 1800 – 2300;Junior;about 1 month ago;2025.05.16;N/A
IT architektas (-ė);UAB ILTE;Vilnius;€ 5000 – 7300;N/A;about 1 month ago;2025.05.16;N/A
Junior Java Developer in Customer Lifecycle Managment team | SEB, Vilnius;SEB;Vilnius;€ 2300 – 3500;Junior;about 1 month ago;2025.06.15;N/A
Senior Solution Architect for Platform and Data Squad in Workflow Enablement Tribe;Danske Bank Lithuania;Vilnius;€ 5600 – 8400;Senior;about 1 month ago;2025.06.13;go, aws, ci/cd, agile
Senior Java Engineer in Advisory, Org data and Groups;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;about 1 month ago;2025.05.28;java, sql, spring, docker, aws, kafka
Senior Engineer in Internal Identity and Access Management | SEB, Vilnius;SEB;Vilnius;€ 3000 – 4500;Senior;about 1 month ago;2025.06.15;N/A
Senior iOS Software Engineer in Customer Engagement Individuals;Danske Bank Lithuania;Vilnius;€ 4320 – 6480;Senior;about 1 month ago;2025.06.06;go, swift
Senior .NET Software Engineer in Welcoming and Orchestration Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;about 1 month ago;2025.06.06;c#, go, sql, docker, kubernetes, ai, kafka
Full stack developer seeking new digital challenges | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;N/A;about 1 month ago;2025.06.15;N/A
Java Chapter Lead for Welcoming and Orchestration;Danske Bank Lithuania;Vilnius;€ 5200 – 7800;Senior;about 1 month ago;2025.05.19;java, spring
BUSINESS IMPROVEMENT PROJECT MANAGER (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2666 – 3999;N/A;about 1 month ago;2025.06.17;ai
Senior Front-end Developer;Danske Bank Lithuania;Vilnius;€ 4320 – 6480;Senior;about 2 months ago;2025.06.12;less, node.js, express, aws, azure, gcp, ai, devops, ci/cd, git
Business Analyst;FL Technics;Vilnius / Remote;€ 2500 – 3500;N/A;about 2 months ago;2025.05.30;go, azure, ai, agile
SKAITMENINĖS SAUGOS EKSPERTĖ (-AS) (ATSINAUJINANTI ENERGETIKA);Ignitis Group;Vilnius;€ 4403 – 6604;N/A;about 2 months ago;2025.05.30;N/A
Software Engineer in Banking APIs | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;N/A;about 2 months ago;2025.06.15;N/A
Senior Platform Engineer at Danica IT;Danske Bank Lithuania;Vilnius;€ 4640 – 6960;Senior;about 2 months ago;2025.05.28;kubernetes, devops, ci/cd
IT PROJECT PORTFOLIO ANALYST (F/M/D);Ignitis Group;Vilnius;€ 3757 – 5635;N/A;about 2 months ago;2025.05.17;ai, agile
SENIOR IT PROJECT MANAGER (F/M/D) (INFRASTRUCTURE);Ignitis Group;Vilnius;€ 3757 – 5635;Senior;about 2 months ago;2025.05.17;go, ai
Experienced Full-stack Data Scientist for Behavioural Modelling Team;Danske Bank Lithuania;Vilnius;€ 4160 – 6240;N/A;about 2 months ago;2025.05.30;aws
Senior Software Engineer (Front-end) in AML Review Tribe;Danske Bank Lithuania;Vilnius;€ 4320 – 6480;Senior;about 2 months ago;2025.05.19;java, javascript, html, react, angular
OPERATIONAL TECHNOLOGY SYSTEM ADMINISTRATOR (OTSA) (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2641 – 3962;N/A;about 2 months ago;2025.05.17;ai, cybersecurity
Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;Senior;2 months ago;2025.06.15;N/A
Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Kaunas;SEB;Kaunas;€ 2850 – 5450;Senior;2 months ago;2025.06.15;N/A
Senior Java Developer for Credit Journey Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;2 months ago;2025.05.21;java, spring, docker, kubernetes, aws, ai, rest api
Senior .NET Engineer in Financial Crime Lifecycle Management Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;2 months ago;2025.06.11;sql, kubernetes, ai, git
Java/ Angular Software Developer at Financing & Loans Tribe | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;N/A;2 months ago;2025.06.15;N/A
Senior Dynamics 365 and Power Platform Solution Developer | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6300;Senior;2 months ago;2025.06.15;N/A
.NET Software Engineer in Customer Engagement Individuals;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;2 months ago;2025.06.09;go, sql, kubernetes, azure, ai, devops, ci/cd
Data Engineer in Finance Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;2 months ago;2025.05.27;python, go, sql, spark
Business System Support Analyst (+Danish language bonus allowance);Danske Bank Lithuania;Vilnius;€ 1480 – 2220;N/A;2 months ago;2025.05.19;ai
Full Stack Developer in Credit & Capital tribe | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;N/A;3 months ago;2025.06.15;N/A
Senior Software Engineer (Mainframe) in Credit Journey Tribe;Danske Bank Lithuania;Vilnius;€ 4640 – 6960;Senior;3 months ago;2025.05.16;N/A
DevOps Engineer for Journey Automation Team;Danske Bank Lithuania;Vilnius;€ 4640 – 6960;N/A;3 months ago;2025.05.28;docker, kubernetes, aws, terraform, ai, devops, ci/cd
Senior SAS Platform Engineer;Danske Bank Lithuania;Vilnius;€ 4160 – 6240;Senior;3 months ago;2025.06.02;aws, azure, ai
IT Platform Engineer for MLOps (Machine Learning) Area;Danske Bank Lithuania;Vilnius;€ 3280 – 4920;N/A;3 months ago;2025.06.12;aws, terraform, ai, ci/cd, kafka
IT LICENSE ADMINISTRATOR (F/M/D);Ignitis Group;Vilnius;€ 2379 – 3568;N/A;3 months ago;2025.05.25;terraform, ansible, ai
Senior Business Analyst in End User Services – GenAI services;Danske Bank Lithuania;Vilnius;€ 3600 – 5400;Senior;3 months ago;2025.05.19;ai
DATA ENGINEER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;N/A;3 months ago;2025.05.18;python, sql, ai
DATA ENGINEER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;N/A;3 months ago;2025.05.18;python, sql, ai
IT Software Architect;Danske Bank Lithuania;Vilnius;€ 5040 – 7560;N/A;3 months ago;2025.05.21;java, ai
Data Engineering Chapter Lead in Everyday Banking Individuals Tribe;Danske Bank Lithuania;Vilnius;€ 5200 – 7800;Senior;3 months ago;2025.06.06;go, aws, gcp, agile
Senior Data Engineer in Everyday Banking Individuals Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;3 months ago;2025.06.06;go, sql, nosql, aws, gcp, agile
Senior Cloud Data Engineer in HR IT, Corporate Functions | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Senior;3 months ago;2025.06.15;N/A
.NET Full-Stack Developer in Leasing team | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;N/A;3 months ago;2025.06.15;N/A
DUOMENŲ VALDYSENOS (DATA GOVERNANCE) KOORDINATORĖ (-IUS);Ignitis Group;Vilnius;€ 3267 – 4900;N/A;3 months ago;2025.05.30;N/A
Google Cloud Platform Engineer | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;N/A;4 months ago;2025.06.15;N/A
Google Cloud Platform Engineer | SEB, Kaunas;SEB;Kaunas;€ 2850 – 5450;N/A;4 months ago;2025.06.15;N/A
HEAD OF INTEGRATIONS (F/M/D);Ignitis Group;Vilnius;€ 4247 – 6370;Senior;4 months ago;2025.05.27;java, go, spring, ai, ci/cd, git, gitlab, agile, scrum, kanban
DevOps Engineer for Log Infrastructure | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;N/A;4 months ago;2025.06.15;N/A
Senior Software Engineer (.NET) in AML Review Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;5 months ago;2025.05.19;c#, react, aws
Java Engineering Lead to establish a new squad in Digital Core Tribe;Danske Bank Lithuania;Vilnius;€ 5520 – 8280;Senior;5 months ago;2025.05.28;agile
Senior Java Developer for Welcoming and Orchestration Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;6 months ago;2025.06.06;java, sql, spring, docker, kubernetes, aws, ai
Mid/Senior Java Developer | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;Senior;6 months ago;2025.06.15;N/A
Mid/Senior Java Developer | SEB, Kaunas;SEB;Kaunas;€ 2850 – 5450;Senior;6 months ago;2025.06.15;N/A
Senior .Net Software Engineer for Risk and Compliance Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;6 months ago;2025.05.19;aws, terraform, ai, ci/cd
JUNIOR ORACLE DEVELOPER (F/M/D);Ignitis Group;Vilnius;€ 2532 – 3800;Junior;7 months ago;2025.05.17;sql, ai
IT Solution Architect for People Tribe;Danske Bank Lithuania;Vilnius;€ 5040 – 7560;N/A;7 months ago;2025.06.12;go, aws
Chief Data Architect in Financial Crime Lifecycle Management;Danske Bank Lithuania;Vilnius;€ 6640 – 9960;N/A;7 months ago;2025.05.16;aws, agile
IT INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis Group;Vilnius;€ 2379 – 3568;N/A;8 months ago;2025.05.17;python, terraform, ansible, ai, linux, windows server, networking
Application Support specialist for Data Quality | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;N/A;9 months ago;2025.06.15;N/A
Senior Cloud Specialist: Kubernetes and Linux;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;10 months ago;2025.05.28;python, ruby, go, kubernetes, aws, azure, gcp, terraform, ansible, ai, linux
Senior Cloud Specialist: Kubernetes;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;10 months ago;2025.05.28;go, kubernetes, aws, azure, terraform, ansible, devops, git
Data Engineer for Global Insights;Danske Bank Lithuania;Vilnius;€ 3440 – 5160;N/A;12 months ago;2025.05.28;N/A
Java Developer for Event Driven Integration Team | SEB,Vilnius;SEB;Vilnius;€ 3650 – 5450;N/A;over 2 years ago;2025.06.15;N/A
IT Solution Owner (Forestry Systems) – Ingka Investments;WorkingDay Latvia SIA;Kaunas / Remote;€ 4700 – 6700;N/A;Renewed about 22 hours ago;2025.05.17;go, ai, git
Senior .NET Engineer;Alliance for Recruitment;Vilnius;€ 5500 – 10000;Senior;1 day ago;2025.06.15;N/A
Google Cloud Platform Engineer | SEB, Kaunas;SEB;Kaunas;€ 2850 – 5450;N/A;4 months ago;2025.06.15;N/A
HEAD OF INTEGRATIONS (F/M/D);Ignitis Group;Vilnius;€ 4247 – 6370;Senior;4 months ago;2025.05.27;java, go, spring, ai, ci/cd, git, gitlab, agile, scrum, kanban
DevOps Engineer for Log Infrastructure | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;N/A;4 months ago;2025.06.15;N/A
Senior Software Engineer (.NET) in AML Review Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;5 months ago;2025.05.19;c#, react, aws
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
