Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
PARDAVIMŲ VADOVAS (-Ė),„Hirelabas“ įmonių grupė,Kaunas,1800-2200,1800.0,2200.0,2000.0,400.0,Sales & Customer Service,Other
Tunelinės plovyklos operatorius (-ė) Senosios Pilaitės kelias,UAB „PRO BRO Group“,Vilnius,1380-1794,1380.0,1794.0,1587.0,414.0,Mobile Development,Other
Stalius-staklininkas (-ė),SBA Grupė,Kaunas,900-1400,900.0,1400.0,1150.0,500.0,Other,Other
Pakavimo įrengimų operatorius (-ė) - krovėjas (-a),UAB „VMG Food“,Vilnius,1000-1250,1000.0,1250.0,1125.0,250.0,Manufacturing & Production,Other
Universalus baldų apmušėjas (-a),UAB „Advantus“,Kaunas,1500-2000,1500.0,2000.0,1750.0,500.0,Other,Other
Pardavėja kasininkė / pardavėjas kasininkas,UAB „Cesta“,Vilnius,1039-1138,1039.0,1138.0,1088.5,99.0,Retail,Other
Art & LEGO Assistant,UAB „Pandos“,Vilnius,1380,1380.0,,1380.0,0.0,Other,Other
Statybinių medžiagų pardavimo vadybininkas (-ė),UAB „Bauen“,Šiauliai,1200-2500,1200.0,2500.0,1850.0,1300.0,Sales & Customer Service,Other
BUHALTERIS (-Ė),UAB „Bauen“,Kaunas,1200-1400,1200.0,1400.0,1300.0,200.0,Finance & Accounting,Other
Sandėlio darbuotojas,UAB „Bauen“,Šiauliai,900-1100,900.0,1100.0,1000.0,200.0,Logistics & Transport,Other
"IEŠKOME KORTŲ ŽAIDIMŲ VEDĖJŲ KAUNE (0,5-1 ETATU)",UAB „Evolution Lithuania“,Kaunas,7.40-15.75,1184.0,2520.0,1852.0,8.35,Other,Other
"IEŠKOME KORTŲ MAIŠYTOJŲ KAUNE - CV NEREIKIA (0,5-1 ETATU)",UAB „Evolution Lithuania“,Kaunas,7.40-11.60,1184.0,1856.0,1520.0,4.199999999999999,Other,Other
"IEŠKOME KORTŲ ŽAIDIMŲ VEDĖJŲ KAUNE (0,5-1 ETATU)",UAB „Evolution Lithuania“,Kaunas,830-1600,830.0,1600.0,1215.0,770.0,Other,Other
PREKIŲ SURINKĖJAS (-A) EL.KRAUTUVU I-V 9:15-18val.,UAB SKUBA,Vilnius,1143-1680,1143.0,1680.0,1411.5,537.0,Marketing & Communications,Other
Pardavėja (-as) - konsultantė (-as),UAB „Pako Lorente Baltija“,Vilnius,1050-2000,1050.0,2000.0,1525.0,950.0,Sales & Customer Service,Other
"Gamybos darbuotojas (medinio skydo klijuotojas, medžio masyvo stalčių gamyba)",UAB „EVABOX“,Vilnius,900-1100,900.0,1100.0,1000.0,200.0,Manufacturing & Production,Other
MECHANIKAS (-Ė) - TECHNIKAS (-Ė),UAB „Techvitas“,Kaunas,1200-2200,1200.0,2200.0,1700.0,1000.0,Engineering,Other
QA Engineer – Frontend Automation Specialist,UAB PLC Group,Vilnius,2000-3500,2000.0,3500.0,2750.0,1500.0,Software Development,Mid
Autokrautuvo vairuotojas (-a),SBA Grupė,Klaipėda,950-1200,950.0,1200.0,1075.0,250.0,Logistics & Transport,Other
Parduotuvės vadovas (-ė) Vilniuje,UAB „Anvol“,Vilnius,1600-2050,1600.0,2050.0,1825.0,450.0,Management,Other
Aliuminio fasadų surinkėjas (-a) - operatorius (-ė) (gamyba),UAB „Glansa“,Kaunas,1100-1550,1100.0,1550.0,1325.0,450.0,Marketing & Communications,Other
Transporto ir produktų sandėlio pamainos vadovas (-ė),UAB „Press Glass“,Kaunas,2570-2840,2570.0,2840.0,2705.0,270.0,Logistics & Transport,Other
Sandėlio darbuotojas (-a) KAUNO LEZ (pilnas etatas),UAB „Araneta“,Kaunas,2500-3000,2500.0,3000.0,2750.0,500.0,Logistics & Transport,Other
"Terminalo operatorius (-ė), Kaune","SmartPosti, UAB",Kaunas,1264-1650,1264.0,1650.0,1457.0,386.0,Manufacturing & Production,Other
Gamybos darbuotojas (-a) (1 darbo pamaina),UAB „Novameta“,Kaunas,1100-1290,1100.0,1290.0,1195.0,190.0,Manufacturing & Production,Other
"Associate Collector (German Speaker, Maternity Cover)",Western Union Lithuania ~ European Regional Operations Center,Vilnius,1241-1825,1241.0,1825.0,1533.0,584.0,Other,Junior
Elektromechanikas (-ė),UAB „Press Glass“,Kaunas,2200-2700,2200.0,2700.0,2450.0,500.0,Engineering,Other
VALYTOJA (-AS) (darbas 2 pamainomis),UAB „Littelfuse LT“,Kaunas,1200-1500,1200.0,1500.0,1350.0,300.0,Cleaning & Facilities,Other
Prekių surinkėjas (-a) - Vokietijoje (TINKA POROMS),MB „Worknos“,Germany,1800-2500,1800.0,2500.0,2150.0,700.0,Marketing & Communications,Other
Compliance and Legal Officer,"Mango Insurance, UAB",Vilnius,2900-3400,2900.0,3400.0,3150.0,500.0,HR & Administration,Other
Stabilus darbas gamyboje - rinkis tai kas Tau tinka!,UAB „Advantus“,Kaunas,1200-1770,1200.0,1770.0,1485.0,570.0,Marketing & Communications,Other
LAIDŲ KIRPIMO OPERATORIUS (-Ė),UAB „Electronic House“,Vilnius,1200-1800,1200.0,1800.0,1500.0,600.0,Manufacturing & Production,Other
