Title;Company;Location;Salary
Terminalo operatorius (-ė), Kaune;SmartPosti, UAB;Kaunas;1264-1650
Gamybos darbuotojas (-a) (1 darbo pamaina);UAB „Novameta“;Kaunas;1100-1290
Associate Collector (German Speaker, Maternity Cover);Western Union Lithuania ~ European Regional Operations Center;Vilnius;1241-1825
Elektromechanikas (-ė);UAB „Press Glass“;Kaunas;2200-2700
VALYTOJA (-AS) (darbas 2 pamainomis);UAB „Littelfuse LT“;Kaunas;1200-1500
Prekių surinkėjas (-a) - Vokietijoje (TINKA POROMS);MB „Worknos“;Germany;1800-2500
Compliance and Legal Officer;Mango Insurance, UAB;Vilnius;2900-3400
Stabilus darbas gamyboje - rinkis tai kas Tau tinka!;UAB „Advantus“;Kaunas;1200-1770
LAIDŲ KIRPIMO OPERATORIUS (-Ė);UAB „Electronic House“;Vilnius;1200-1800
Ekskavatoriaus operatorius;Žiuko įmonė;Molėtai;From 1600
Mobiliųjų telefonų - kompiuterių specialistas;UAB „ELITELA“;Ukmergė;900-1500
ŠALTKALVIS;UAB „Electronic House“;Vilnius;1100
Gamybos darbuotojas (-a);UAB „ULMAS“;Kaunas;From 900
Prisijunk prie fantastiškos INTERACTIVE studios žaidimų vedėjų komandos Klaipėdoje!;UAB „SP STUDIO“;Klaipėda;6.36-24.81
Ekonomistas (-ė);UAB „Schmitz Cargobull Baltic“;Panevėžys;1400-1600
AB „Liteksas“ vyresnysis technikas (-ė);„Marzotto įmonių grupė“;Kaunas;1600-2300
Elektromontuotojas (-a) TP/SP;Žilinskis ir Co, UAB;Vilnius;1300-1600
Mechanikos technikas (-ė);UAB „FREDA“;Kaunas;2400-3200
Kokybės Inžinierius (-ė) (autoelektrikas);UAB „Schmitz Cargobull Baltic“;Panevėžys;1700-2000
PREKIŲ KOMPLEKTUOTOJAS (-A);UAB „Electronic House“;Vilnius;1200-1600
Radiologijos technologas (-ė) (Santariškių padalinys);InMedica grupė;Vilnius;2806-3966
Apskaitininkas (-ė) - buhalteris (-ė);UAB „Baltic Diagnostic Service“;Kaunas;1000-1200
ŠVIEŽIOS ŽUVIES SKYRIAUS PARDAVĖJAS (-A);UAB „Šiaurės jūra“;Vilnius;From 1000
Suvirintojas;UAB „LAIPTŲ FABRIKAS“;Vilnius;1300-1700
