Title,Company,Location,Salary,Seniority,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Cyber Security Consultant,EY,Vilnius,€ 2000 – 2700,Unspecified,2000.0,2700.0,2350.0,700.0,Security,Not Specified
Skaitmenintojas (-a) Vilniaus universiteto bibliotekoje,Vilniaus universitetas,Vilnius,€ 1300 – 1550,Unspecified,1300.0,1550.0,1425.0,250.0,Business Analyst,Not Specified
Software Engineer (Java),Cognizant Lietuva,Vilnius / Remote,€ 3240 – 3810,Unspecified,3240.0,3810.0,3525.0,570.0,Java Developer,Not Specified
IT pirkimų vyr. specialistas (-ė),"Registrų centras, VĮ",Vilnius,€ 2376 – 3564,Unspecified,2376.0,3564.0,2970.0,1188.0,Other,Senior
Business Analyst,FL Technics,Vilnius / Remote,€ 2500 – 3500,Unspecified,2500.0,3500.0,3000.0,1000.0,Business Analyst,Not Specified
Duomenų inžinierius(-ė)/Data Engineer,"Metso Global Business Services, UAB",Šiauliai,€ 2500 – 3200,Unspecified,2500.0,3200.0,2850.0,700.0,Data Engineer,Not Specified
AI Engineer,"Iki Lietuva, UAB",Vilnius,€ 2560 – 4500,Unspecified,2560.0,4500.0,3530.0,1940.0,Data Scientist,Not Specified
"Software Engineer within Digital Solutions Sweden, Customer Channels","""Swedbank"", AB",Vilnius / Remote,€ 3800 – 5700,Unspecified,3800.0,5700.0,4750.0,1900.0,Software Developer,Not Specified
"Verslo sistemų (gamyba, operacijos) savininkas (-ė)","People Link, UAB",Vilnius,€ 3000 – 4000,Unspecified,3000.0,4000.0,3500.0,1000.0,Other,Not Specified
.NET Developer for PlusPort team,"Visma Tech, UAB",Vilnius / Remote,€ 2800 – 6300,Unspecified,2800.0,6300.0,4550.0,3500.0,.NET Developer,Not Specified
Senior Software Engineer and Team Lead,Cognizant Lietuva,Kaunas / Remote,€ 4950 – 8250,Senior,4950.0,8250.0,6600.0,3300.0,Software Developer,Senior
Software Architect and Team Lead,Cognizant Lietuva,Kaunas / Remote,€ 4950 – 8250,Senior,4950.0,8250.0,6600.0,3300.0,Other,Senior
Senior PHP Developer,Indigroup,Vilnius,€ 5000 – 6000,Senior,5000.0,6000.0,5500.0,1000.0,Back-end developer,Senior
Rinkos paslaugų planavimo grupės vadovė (-as),EPSO-G įmonių grupė,Vilnius,€ 4300 – 5000,Unspecified,4300.0,5000.0,4650.0,700.0,Other,Not Specified
Ieškome Mid Back-End programuotojo (-os),"Emplonet, UAB",Vilnius / Remote,€ 3500 – 5300,Mid,3500.0,5300.0,4400.0,1800.0,Back-end developer,Mid
SKAITMENINĖS SAUGOS EKSPERTĖ (-AS) (ATSINAUJINANTI ENERGETIKA),Ignitis Group,Vilnius,€ 4403 – 6604,Unspecified,4403.0,6604.0,5503.5,2201.0,Security,Senior
DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!,"Mano būstas, UAB",Vilnius,€ 4000 – 5500,Unspecified,4000.0,5500.0,4750.0,1500.0,Data Scientist,Not Specified
AI Engineer,"Iki Lietuva, UAB",Vilnius,€ 2560 – 3840,Unspecified,2560.0,3840.0,3200.0,1280.0,Data Scientist,Not Specified
Vyresnysis projektų vadovas(-ė) verslo valdymo sistemų diegime,Digmatix,Vilnius / Remote,€ 3200 – 5500,Unspecified,3200.0,5500.0,4350.0,2300.0,Project Manager/Product Owner,Senior
"Java Developer in Account Channels | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,Unspecified,2850.0,4250.0,3550.0,1400.0,Java Developer,Not Specified
Veiklos analitikas (-ė) (Gyventojų registras),"Registrų centras, VĮ",Vilnius,€ 2175 – 3262,Unspecified,2175.0,3262.0,2718.5,1087.0,Data Analyst,Not Specified
Business Analyst,BAA Training,Vilnius / Remote,€ 3306 – 3967,Unspecified,3306.0,3967.0,3636.5,661.0,Business Analyst,Not Specified
Head of Information Security for European Markets,"Nasdaq Vilnius Services, UAB",Vilnius,€ 7500 – 10000,Senior,7500.0,10000.0,8750.0,2500.0,Security,Senior
"Pozicijos pavadinimas, rodomas skelbimuose","Lietuvos draudimas, AB",Vilnius,€ 2500 – 4500,Unspecified,2500.0,4500.0,3500.0,2000.0,Business Analyst,Not Specified
Mid Quality Assurance Engineer,"StrongPoint, UAB",Vilnius,€ 2630 – 3945,Mid,2630.0,3945.0,3287.5,1315.0,QA Engineer,Mid
Klinikinis modeliuotojas – veiklos procesų analitikas,UAB Varutis,Kaunas,€ 3300 – 4800,Unspecified,3300.0,4800.0,4050.0,1500.0,Data Analyst,Not Specified
Experienced Brand and Web Designer,"Wix.com, UAB",Vilnius,€ 3000 – 5500,Unspecified,3000.0,5500.0,4250.0,2500.0,Front-end Web developer,Senior
Talent Acquisition (TA) Partner,"Wix.com, UAB",Vilnius,€ 2500 – 3400,Unspecified,2500.0,3400.0,2950.0,900.0,Other,Not Specified
Experienced Talent Acquisition (TA) Partner,"Wix.com, UAB",Vilnius,€ 3200 – 4100,Unspecified,3200.0,4100.0,3650.0,900.0,Other,Senior
Frontend Software Engineer,"Wix.com, UAB",Vilnius,€ 3000 – 7000,Unspecified,3000.0,7000.0,5000.0,4000.0,Front-end Web developer,Not Specified
Senior Frontend Engineer - Functions & Members Area,"Wix.com, UAB",Vilnius,€ 4500 – 8000,Senior,4500.0,8000.0,6250.0,3500.0,Front-end Web developer,Senior
Frontend Engineer - Vilnius CTO Team,"Wix.com, UAB",Vilnius,€ 4000 – 8000,Unspecified,4000.0,8000.0,6000.0,4000.0,Front-end Web developer,Not Specified
Frontend Engineer - Rich Content,"Wix.com, UAB",Vilnius,€ 4500 – 7000,Unspecified,4500.0,7000.0,5750.0,2500.0,Front-end Web developer,Not Specified
Senior Service Owner,"QDev Technologies, UAB",Vilnius / Remote,€ 3500 – 4500,Senior,3500.0,4500.0,4000.0,1000.0,Other,Senior
Software Engineer,"GetJet Airlines, UAB",Vilnius,€ 2500 – 5000,Unspecified,2500.0,5000.0,3750.0,2500.0,Software Developer,Not Specified
"DevOps specialist seeking new digital challenges | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,Unspecified,2850.0,4250.0,3550.0,1400.0,DevOps,Not Specified
.NET Programuotojas (-a),"People Link, UAB",Alytus,€ 3300 – 3600,Unspecified,3300.0,3600.0,3450.0,300.0,.NET Developer,Not Specified
IT projektų vadovas – veiklos procesų analitikas,UAB Varutis,Kaunas,€ 3500 – 5000,Unspecified,3500.0,5000.0,4250.0,1500.0,Project Manager/Product Owner,Not Specified
Tinklo inžinierius (-ė),Kauno technologijos universitetas,Kaunas,€ 2600 – 2925,Unspecified,2600.0,2925.0,2762.5,325.0,Other,Not Specified
AI Engineer,EY,Vilnius / Remote,€ 2400 – 4000,Unspecified,2400.0,4000.0,3200.0,1600.0,Data Scientist,Not Specified
Senior Technical Project Manager,"Nasdaq Vilnius Services, UAB",Vilnius,€ 3600 – 4100,Senior,3600.0,4100.0,3850.0,500.0,Project Manager/Product Owner,Senior
IT PROJECT PORTFOLIO ANALYST (F/M/D),Ignitis Group,Vilnius,€ 3757 – 5635,Unspecified,3757.0,5635.0,4696.0,1878.0,Other,Not Specified
SENIOR IT PROJECT MANAGER (F/M/D) (INFRASTRUCTURE),Ignitis Group,Vilnius,€ 3757 – 5635,Senior,3757.0,5635.0,4696.0,1878.0,Project Manager/Product Owner,Senior
IT paslaugų produktų vadovė (-as),Blue Bridge grupė,Vilnius,€ 3400 – 4000,Unspecified,3400.0,4000.0,3700.0,600.0,Project Manager/Product Owner,Not Specified
Senior Data Engineer,Blue Bridge grupė,Vilnius,€ 4000 – 5500,Senior,4000.0,5500.0,4750.0,1500.0,Data Engineer,Senior
IS specialistas (-ė),"Emplonet, UAB",Vilnius,€ 2900 – 3100,Unspecified,2900.0,3100.0,3000.0,200.0,System Administrator/Architect,Not Specified
STAŽUOTOJA (-AS) DUOMENŲ ANALITIKOS SKYRIUJE,Ignitis Group,Vilnius,€ 1120 – 1680,Unspecified,1120.0,1680.0,1400.0,560.0,Data Analyst,Junior
Configuration Engineer (mid/senior),"Quadigi, UAB",Kaunas / Remote,€ 3800 – 5500,Senior,3800.0,5500.0,4650.0,1700.0,Other,Mid
DevOps Engineer (mid/senior),"Quadigi, UAB",Vilnius / Remote,€ 3800 – 5700,Senior,3800.0,5700.0,4750.0,1900.0,DevOps,Mid
Data Solutions Architect,Kilo Health - UAB Kilo grupė,Vilnius,€ 5200 – 7800,Unspecified,5200.0,7800.0,6500.0,2600.0,Data Engineer,Not Specified
Senior/Principal C++/Qt Engineer,"Quadigi, UAB",Kaunas / Remote,€ 4000 – 6800,Senior,4000.0,6800.0,5400.0,2800.0,Embedded Developer,Senior
Embedded Software Engineer - C/C++,"Quadigi, UAB",Vilnius / Remote,€ 4000 – 6300,Unspecified,4000.0,6300.0,5150.0,2300.0,Embedded Developer,Not Specified
Mid/Senior C++/Qt Engineer,"Quadigi, UAB",Kauno apskritis / Remote,€ 3500 – 6300,Senior,3500.0,6300.0,4900.0,2800.0,Embedded Developer,Mid
Junior .NET Software Engineer,Adform,Vilnius,€ 2350 – 2750,Junior,2350.0,2750.0,2550.0,400.0,.NET Developer,Junior
IT sistemų specialistas (-ė),"Emplonet, UAB",Vilnius,€ 2454 – 2806,Unspecified,2454.0,2806.0,2630.0,352.0,Other,Not Specified
Data Engineer,"Grafton Lithuania, UAB",Vilnius,€ 3750 – 6250,Unspecified,3750.0,6250.0,5000.0,2500.0,Data Engineer,Not Specified
QA Engineer,NRD Companies,Vilnius / Remote,€ 2200 – 3700,Unspecified,2200.0,3700.0,2950.0,1500.0,QA Engineer,Not Specified
IT verslo analitikas (-ė),"Lietuvos draudimas, AB",Vilnius,€ 2900 – 3700,Unspecified,2900.0,3700.0,3300.0,800.0,Data Analyst,Not Specified
IT PAGALBOS KONSULTANTAS (-Ė),MAXIMA,Vilnius,€ 1200 – 1400,Unspecified,1200.0,1400.0,1300.0,200.0,IT Support,Not Specified
ServiceNow Application Developer,"COWI Lietuva, UAB",Vilnius,€ 3300 – 4500,Unspecified,3300.0,4500.0,3900.0,1200.0,Mobile Developer,Not Specified
Jaunesnysis (-ioji) analitikas (-ė) Regionų kreditavimo skyriuje,"Šiaulių bankas, AB",Vilnius / Remote,€ 1670 – 2500,Unspecified,1670.0,2500.0,2085.0,830.0,Data Analyst,Not Specified
Data Scientist,Eleving Group,Vilnius / Remote,€ 3500 – 4500,Unspecified,3500.0,4500.0,4000.0,1000.0,Data Scientist,Not Specified
System (Azure) Administrator,"Emplonet, UAB",Kaunas,€ 4132.24 – 4462.8,Unspecified,4132.24,4462.8,4297.52,330.5600000000004,DevOps,Not Specified
Mid Level C++ Software Engineer,"Emplonet, UAB",Vilnius,€ 3800 – 5000,Mid,3800.0,5000.0,4400.0,1200.0,Embedded Developer,Mid
FP&A Business Partner,"Baltic Amadeus, UAB",Vilnius,€ 3300 – 4500,Unspecified,3300.0,4500.0,3900.0,1200.0,Other,Not Specified
Senior Software Engineer (Front-end) in AML Review Tribe,Danske Bank Lithuania,Vilnius,€ 4320 – 6480,Senior,4320.0,6480.0,5400.0,2160.0,Front-end Web developer,Senior
PHP programuotojas (-a),Vilniaus Gedimino technikos universitetas/VILNIUS TECH,Vilnius,€ 2000 – 2800,Unspecified,2000.0,2800.0,2400.0,800.0,Back-end developer,Not Specified
OPERATIONAL TECHNOLOGY SYSTEM ADMINISTRATOR (OTSA) (F/M/D) | IGNITIS RENEWABLES,Ignitis Group,Vilnius,€ 2401 – 3602,Unspecified,2401.0,3602.0,3001.5,1201.0,IT Support,Not Specified
Darbo užmokesčio sistemų diegimo projektų konsultantas (-ė),Digmatix,Vilnius / Remote,€ 2300 – 3400,Unspecified,2300.0,3400.0,2850.0,1100.0,Other,Not Specified
Junior Digital Marketing Manager,Deep Media Technologies,Vilnius / Remote,€ 1800 – 2300,Junior,1800.0,2300.0,2050.0,500.0,Other,Junior
Intermediate Digital Marketing Manager,Deep Media Technologies,Vilnius / Remote,€ 2400 – 3000,Unspecified,2400.0,3000.0,2700.0,600.0,Other,Mid
Buhalterinės apskaitos modulio IT produkto vadovas (-ė),UAB Instantė,Vilnius / Remote,€ 3000 – 4000,Unspecified,3000.0,4000.0,3500.0,1000.0,Project Manager/Product Owner,Not Specified
"Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,Senior,2850.0,5450.0,4150.0,2600.0,DevOps,Mid
"Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Kaunas",SEB,Kaunas,€ 2850 – 5450,Senior,2850.0,5450.0,4150.0,2600.0,DevOps,Mid
"Java/ Angular Software Developer at Financing & Loans Tribe | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,Unspecified,2850.0,5450.0,4150.0,2600.0,Java Developer,Not Specified
"Senior Dynamics 365 and Power Platform Solution Developer | SEB, Vilnius",SEB,Vilnius,€ 4350 – 6300,Senior,4350.0,6300.0,5325.0,1950.0,Software Developer,Senior
KOMPIUTERIZUOTŲ DARBO VIETŲ PRIEŽIŪROS INŽINIERĖ (-IUS),Ignitis Group,Vilnius,€ 1755 – 2632,Unspecified,1755.0,2632.0,2193.5,877.0,Other,Not Specified
.NET Software Engineer in Customer Engagement Individuals,Danske Bank Lithuania,Vilnius,€ 3520 – 5280,Unspecified,3520.0,5280.0,4400.0,1760.0,.NET Developer,Not Specified
"SAS Developer | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,Unspecified,2850.0,4250.0,3550.0,1400.0,Software Developer,Not Specified
Java Developer for Welcoming and Orchestration Tribe,Danske Bank Lithuania,Vilnius,€ 3520 – 5280,Unspecified,3520.0,5280.0,4400.0,1760.0,Java Developer,Not Specified
POWER PLATFORM DEVELOPER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,Unspecified,3121.0,4683.0,3902.0,1562.0,Software Developer,Not Specified
SENIOR POWER PLATFORM DEVELOPER (F/M/D),Ignitis Group,Vilnius,€ 3466 – 5199,Senior,3466.0,5199.0,4332.5,1733.0,Software Developer,Senior
Business Analyst,FL Technics,Vilnius / Remote,€ 3300 – 3650,Unspecified,3300.0,3650.0,3475.0,350.0,Business Analyst,Not Specified
IT LICENSE ADMINISTRATOR (F/M/D),Ignitis Group,Vilnius,€ 2379 – 3568,Unspecified,2379.0,3568.0,2973.5,1189.0,IT Support,Not Specified
DATA ENGINEER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,Unspecified,3121.0,4683.0,3902.0,1562.0,Data Engineer,Not Specified
Full - Stack Developer,FL Technics,Vilnius / Remote,€ 3400 – 4000,Unspecified,3400.0,4000.0,3700.0,600.0,Software Developer,Not Specified
DATA ENGINEER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,Unspecified,3121.0,4683.0,3902.0,1562.0,Data Engineer,Not Specified
DATA ENGINEER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,Unspecified,3121.0,4683.0,3902.0,1562.0,Data Engineer,Not Specified
Data Engineer,FL Technics,Vilnius / Remote,€ 3500 – 4500,Unspecified,3500.0,4500.0,4000.0,1000.0,Data Engineer,Not Specified
DATA ENGINEER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,Unspecified,3121.0,4683.0,3902.0,1562.0,Data Engineer,Not Specified
Senior DevOps Engineer,Danske Bank Lithuania,Vilnius,€ 4640 – 6960,Senior,4640.0,6960.0,5800.0,2320.0,DevOps,Senior
IT TEAM/DELIVERY MANAGER (F/M/D),Ignitis Group,Vilnius,€ 4247 – 6370,Unspecified,4247.0,6370.0,5308.5,2123.0,Other,Not Specified
IT Network Engineer,Avia Solutions Group,Vilnius / Remote,€ 3636 – 4462,Unspecified,3636.0,4462.0,4049.0,826.0,Other,Not Specified
"Senior Cloud Data Engineer in HR IT, Corporate Functions | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,Senior,3650.0,5450.0,4550.0,1800.0,Data Engineer,Senior
DUOMENŲ VALDYSENOS (DATA GOVERNANCE) KOORDINATORĖ (-IUS),Ignitis Group,Vilnius,€ 3267 – 4900,Unspecified,3267.0,4900.0,4083.5,1633.0,Other,Not Specified
Onsite Support Engineer,FL Technics,Vilnius,€ 2100 – 2500,Unspecified,2100.0,2500.0,2300.0,400.0,IT Support,Not Specified
"Data Engineer to Savings Offering | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,Unspecified,3650.0,5450.0,4550.0,1800.0,Data Engineer,Not Specified
"Google Cloud Platform Engineer | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,Unspecified,2850.0,5450.0,4150.0,2600.0,DevOps,Not Specified
"Google Cloud Platform Engineer | SEB, Kaunas",SEB,Kaunas,€ 2850 – 5450,Unspecified,2850.0,5450.0,4150.0,2600.0,DevOps,Not Specified
Data Scientist,Avion Express,Vilnius / Remote,€ 4000 – 6612,Unspecified,4000.0,6612.0,5306.0,2612.0,Data Scientist,Not Specified
HEAD OF INTEGRATIONS (F/M/D),Ignitis Group,Vilnius,€ 4247 – 6370,Senior,4247.0,6370.0,5308.5,2123.0,Other,Senior
"Senior .NET developer | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,Senior,3650.0,5450.0,4550.0,1800.0,.NET Developer,Senior
"DevOps Engineer for Log Infrastructure | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,Unspecified,2850.0,5450.0,4150.0,2600.0,DevOps,Not Specified
Chief .NET Engineer in Cards Domain,Danske Bank Lithuania,Vilnius,€ 5440 – 8160,Unspecified,5440.0,8160.0,6800.0,2720.0,.NET Developer,Senior
Senior .NET Engineer in Cards Domain,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,Senior,4560.0,6840.0,5700.0,2280.0,.NET Developer,Senior
APPLICATION ARCHITECT (F/M/D),Ignitis Group,Vilnius / Remote,€ 4247 – 6370,Unspecified,4247.0,6370.0,5308.5,2123.0,Other,Not Specified
Senior Java Developer for Welcoming and Orchestration Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,Senior,4560.0,6840.0,5700.0,2280.0,Java Developer,Senior
".NET Backend Developer for high quality solutions | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,Unspecified,3650.0,5450.0,4550.0,1800.0,Back-end developer,Not Specified
JUNIOR ORACLE DEVELOPER (F/M/D),Ignitis Group,Vilnius,€ 2532 – 3800,Junior,2532.0,3800.0,3166.0,1268.0,Database Admin,Junior
"Application Support specialist for Data Quality | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,Unspecified,2850.0,4250.0,3550.0,1400.0,QA Engineer,Not Specified
IT INFRASTRUKTŪROS KOMANDOS VADOVĖ (-AS),Ignitis Group,Vilnius,€ 3594 – 5390,Unspecified,3594.0,5390.0,4492.0,1796.0,Project Manager/Product Owner,Not Specified
Sistemų administratorius (-ė),Alliance for Recruitment,Vilnius,€ 3000 – 4500,Unspecified,3000.0,4500.0,3750.0,1500.0,IT Support,Not Specified
DevOps Engineer,Alliance for Recruitment,Kaunas,€ 6699 – 6700,Unspecified,6699.0,6700.0,6699.5,1.0,DevOps,Not Specified
Principal Site Reliability Engineer,Alliance for Recruitment,Vilnius,€ 6000 – 7000,Senior,6000.0,7000.0,6500.0,1000.0,DevOps,Not Specified
IT PROJECT MANAGER (public sector),Alliance for Recruitment,Vilnius,€ 3300 – 5000,Unspecified,3300.0,5000.0,4150.0,1700.0,Project Manager/Product Owner,Not Specified
Java Back-end Developer,Alliance for Recruitment,Kaunas,€ 2803 – 5621,Unspecified,2803.0,5621.0,4212.0,2818.0,Back-end developer,Not Specified
Power platform development lead,Alliance for Recruitment,Vilnius,€ 5500 – 6500,Senior,5500.0,6500.0,6000.0,1000.0,Other,Senior
Java Solution Developer in Liquidity Risk Team,Alliance for Recruitment,Vilnius,€ 3650 – 5450,Unspecified,3650.0,5450.0,4550.0,1800.0,Java Developer,Not Specified
Įterptinių sistemų programuotojas (-a),Alliance for Recruitment,Vilnius,€ 3000 – 3700,Unspecified,3000.0,3700.0,3350.0,700.0,Embedded Developer,Not Specified
SAP BI Data Engineer,Alliance for Recruitment,Vilnius,€ 3500 – 5000,Unspecified,3500.0,5000.0,4250.0,1500.0,Data Engineer,Not Specified
Full Stack Developer,Alliance for Recruitment,Vilnius,€ 5000 – 8000,Unspecified,5000.0,8000.0,6500.0,3000.0,Full-stack Developer,Not Specified
SAP BI Data Engineer,Alliance for Recruitment,Vilnius,€ 3500 – 5000,Unspecified,3500.0,5000.0,4250.0,1500.0,Data Engineer,Not Specified
Data analyst,Alliance for Recruitment,Vilnius,€ 2300 – 3300,Unspecified,2300.0,3300.0,2800.0,1000.0,Data Analyst,Not Specified
Product Owner (KYC/AML),Alliance for Recruitment,Vilnius,€ 3500 – 6500,Unspecified,3500.0,6500.0,5000.0,3000.0,Project Manager/Product Owner,Not Specified
Learning and Development Partner,Alliance for Recruitment,Vilnius,€ 3300 – 4000,Unspecified,3300.0,4000.0,3650.0,700.0,Other,Not Specified
Full Stack Programuotojas,Alliance for Recruitment,Kaunas,€ 3000 – 4300,Unspecified,3000.0,4300.0,3650.0,1300.0,Full-stack Developer,Not Specified
