Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Senior Solution Architect for Platform and Data Squad in Workflow Enablement Tribe,Danske Bank Lithuania,Vilnius,€ 5600 – 8400,5600.0,8400.0,7000.0,2800.0,Other,Senior
Software Engineer,BIGBANK AS filialas,Vilnius / Remote,€ 3700 – 4500,3700.0,4500.0,4100.0,800.0,Software Developer,Not Specified
"Senior Java Engineer in Advisory, Org data and Groups",Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Java Developer,Senior
Tech Architect,ERGO Insurance SE Lietuvos filialas,Vilnius / Remote,€ 4500 – 5500,4500.0,5500.0,5000.0,1000.0,Other,Not Specified
Product Designer,Eleving Group,Vilnius / Remote,€ 2500 – 3000,2500.0,3000.0,2750.0,500.0,Other,Not Specified
Senior Risk Analyst,Eleving Group,Vilnius / Remote,€ 2600 – 3500,2600.0,3500.0,3050.0,900.0,Other,Senior
.NET Developer for Flyt Health Care team,"Visma Tech, UAB",Kaunas / Remote,€ 2800 – 3500,2800.0,3500.0,3150.0,700.0,.NET Developer,Not Specified
Programinių sistemų testuotojas (-a),"People Link, UAB",Vilnius,€ 2000 – 3000,2000.0,3000.0,2500.0,1000.0,QA Engineer,Not Specified
Senior Integration Engineer,"Johnson Matthey Global Business Services Lithuania, UAB",Vilnius,€ 4708 – 6416,4708.0,6416.0,5562.0,1708.0,Other,Senior
Principal Integration Engineer,"Johnson Matthey Global Business Services Lithuania, UAB",Vilnius,€ 4895 – 8000,4895.0,8000.0,6447.5,3105.0,Other,Not Specified
Java Developer for Business to Government Unit,"Baltic Amadeus, UAB",Vilnius,€ 2600 – 4500,2600.0,4500.0,3550.0,1900.0,Java Developer,Not Specified
Salesforce Developer,"Emplonet, UAB",Vilnius,€ 3500 – 4500,3500.0,4500.0,4000.0,1000.0,Software Developer,Not Specified
Full-stack (.NET/Angular) Developer for Visma Business NXT team,"Visma Tech, UAB",Vilnius / Remote,€ 3600 – 5000,3600.0,5000.0,4300.0,1400.0,.NET Developer,Not Specified
IT administratorius (-ė),"Laisvas ir nepriklausomas kanalas, UAB",Vilnius,€ 2200 – 2700,2200.0,2700.0,2450.0,500.0,IT Support,Not Specified
Back-End Software developer (Java),"Emplonet, UAB",Kaunas,€ 4600 – 5500,4600.0,5500.0,5050.0,900.0,Back-end developer,Not Specified
Head of Marketing And Communications,Indigroup,Vilnius,€ 4500 – 5000,4500.0,5000.0,4750.0,500.0,Other,Senior
IT system architect (Oracle),"Emplonet, UAB",Vilnius,€ 5000 – 5700,5000.0,5700.0,5350.0,700.0,Database Admin,Not Specified
Senior backend Oracle PL/SQL developer,"Emplonet, UAB",Vilnius,€ 3800 – 5200,3800.0,5200.0,4500.0,1400.0,Back-end developer,Senior
"Senior Engineer in Internal Identity and Access Management | SEB, Vilnius",SEB,Vilnius,€ 3000 – 4500,3000.0,4500.0,3750.0,1500.0,Other,Junior
Senior iOS Software Engineer in Customer Engagement Individuals,Danske Bank Lithuania,Vilnius,€ 4320 – 6480,4320.0,6480.0,5400.0,2160.0,Mobile Developer,Senior
Senior .NET Software Engineer in Welcoming and Orchestration Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,.NET Developer,Senior
"Full stack developer seeking new digital challenges | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,2850.0,4250.0,3550.0,1400.0,Full-stack Developer,Not Specified
Java Chapter Lead for Welcoming and Orchestration,Danske Bank Lithuania,Vilnius,€ 5200 – 7800,5200.0,7800.0,6500.0,2600.0,Java Developer,Senior
BUSINESS IMPROVEMENT PROJECT MANAGER (F/M/D) | IGNITIS RENEWABLES,Ignitis Group,Vilnius,€ 2666 – 3999,2666.0,3999.0,3332.5,1333.0,Project Manager/Product Owner,Not Specified
Business Analyst,FL Technics,Vilnius / Remote,€ 2500 – 3500,2500.0,3500.0,3000.0,1000.0,Business Analyst,Not Specified
SKAITMENINĖS SAUGOS EKSPERTĖ (-AS) (ATSINAUJINANTI ENERGETIKA),Ignitis Group,Vilnius,€ 4403 – 6604,4403.0,6604.0,5503.5,2201.0,Security,Senior
"Java Developer in Account Channels | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,2850.0,4250.0,3550.0,1400.0,Java Developer,Not Specified
Senior Platform Engineer at Danica IT,Danske Bank Lithuania,Vilnius,€ 4640 – 6960,4640.0,6960.0,5800.0,2320.0,DevOps,Senior
IT PROJECT PORTFOLIO ANALYST (F/M/D),Ignitis Group,Vilnius,€ 3757 – 5635,3757.0,5635.0,4696.0,1878.0,Other,Not Specified
SENIOR IT PROJECT MANAGER (F/M/D) (INFRASTRUCTURE),Ignitis Group,Vilnius,€ 3757 – 5635,3757.0,5635.0,4696.0,1878.0,Project Manager/Product Owner,Senior
Experienced Full-stack Data Scientist for Behavioural Modelling Team,Danske Bank Lithuania,Vilnius,€ 4160 – 6240,4160.0,6240.0,5200.0,2080.0,Data Scientist,Senior
Senior Software Engineer (Front-end) in AML Review Tribe,Danske Bank Lithuania,Vilnius,€ 4320 – 6480,4320.0,6480.0,5400.0,2160.0,Front-end Web developer,Senior
OPERATIONAL TECHNOLOGY SYSTEM ADMINISTRATOR (OTSA) (F/M/D) | IGNITIS RENEWABLES,Ignitis Group,Vilnius,€ 2641 – 3962,2641.0,3962.0,3301.5,1321.0,IT Support,Not Specified
"Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,DevOps,Mid
"Mid/Senior Site Reliability Engineer with passion for innovation | SEB, Kaunas",SEB,Kaunas,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,DevOps,Mid
Senior Java Developer for Credit Journey Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Java Developer,Senior
Senior .NET Engineer in Financial Crime Lifecycle Management Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,.NET Developer,Senior
"Java/ Angular Software Developer at Financing & Loans Tribe | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,2850.0,4250.0,3550.0,1400.0,Java Developer,Not Specified
