Title;Company;Location;Salary;Seniority;Published
PRODUKTO VADOVAS (-Ė);UAB Emplonet;Kaunas;3800-4000;N/A;20 days ago
PRODUKTO VADOVAS (-Ė);UAB Emplonet;Vilnius;3800-4000;N/A;20 days ago
VYR. IS ADMINISTRATORIUS (-ė);UAB Emplonet;Vilnius;3300-4500;N/A;20 days ago
IT projektų vadovas (-ė) (informacinių sistemų kūrimo ar atnaujinimo projektams);Lietuvos Respublikos ryšių reguliavimo tarnyba;Vilnius;4106-4642;N/A;20 days ago
IT inžinierius;UAB „GoIT“;Vilnius;From 1400;N/A;20 days ago
Mobilių bazinių stočių įrangos montavimo inžinierius;UAB „Eltel Networks“;Finland;4000-5000;N/A;20 days ago
ERP priežiūros specialistas (-ė);TMV Capital įmonių grupė;Kaunas;2000-2500;N/A;20 days ago
UI/UX Engineer;Shift4 Payments Lithuania UAB;Vilnius;3500-4500;N/A;20 days ago
Duomenų analitikas (Python);UAB „Energy Advice“;Kaunas;1800-2500;N/A;20 days ago
IT sistemų administratorius Vilniuje;UAB „AV terminal“;Vilnius;2000-2300;N/A;20 days ago
Big Data Engineer;UAB „Bitė Lietuva“;Vilnius;N/A;N/A;20 days ago
Pardavimų palaikymo skyriaus asistentas (-ė) Kaune;AB „LIETUVOS DRAUDIMAS“;Kaunas;934;N/A;20 days ago
Claim Administration Specialist;Skycop;Vilnius;800-900;N/A;21 days ago
Procesų specialistas (-ė);Eglės sanatorija;Vilnius;2400-2900;N/A;21 days ago
Technical Support Specialist;UAB „QDev Technologies“;Vilnius;2200-2700;N/A;21 days ago
Retrospektyvinės stebėsenos skyriaus AML specialistas (-ė);AB ŠIAULIŲ BANKAS;Kaunas;1600-2400;N/A;7 days left
Retrospektyvinės stebėsenos skyriaus AML specialistas (-ė);AB ŠIAULIŲ BANKAS;Šiauliai;1560-2330;N/A;7 days left
FULL-STACK PROGRAMUOTOJAS (-A);Talent Lab;Vilnius;From 2500;N/A;21 days ago
Retrospektyvinės stebėsenos skyriaus AML specialistas (-ė);AB ŠIAULIŲ BANKAS;Vilnius;1670-2500;N/A;7 days left
Analitikas (-ė);AB Vilniaus šilumos tinklai;Vilnius;2300-3445;N/A;21 days ago
Programinės įrangos inžinierius (-ė) (.NET ir C#);UAB „Viltechmeda“;Vilnius;3000-3900;N/A;21 days ago
Kibernetinio saugumo specialistas (-ė);UAB „Nemuno vaistinė“;Kaunas;3306;N/A;21 days ago
Programinės įrangos konsultantas (-ė);Edrana Baltic, UAB;Vilnius;1300-1600;N/A;21 days ago
Sustainability Specialist Baltics;UAB „Tamro“;Kaunas;3500-4000;N/A;21 days ago
SISTEMŲ ANALITIKAS (-Ė);ATEA grupė;Vilnius;1000-2000;N/A;21 days ago
SISTEMŲ ANALITIKAS (-Ė);ATEA grupė;Kaunas;1000-2000;N/A;21 days ago
AI Automation Engineer;UAB „Medical Score“;Vilnius;3500-6000;N/A;21 days ago
MID-LEVEL QA ENGINEER;Įmonių grupė „Penki kontinentai“;Vilnius;1500-1800;Mid;21 days ago
Front-End Engineer;UAB „Medical Score“;Vilnius;2800-4000;N/A;21 days ago
IT serviso inžinierius darbui pas klientus (Šiauliai);UAB „UCS BALTIC“;Šiauliai;1279-1674;N/A;21 days ago
IT Infrastructure Manager;UAB Walletto;Vilnius;From 5000;N/A;21 days ago
POWER PLATFORM DEVELOPER (F/M/D);Ignitis grupė;Vilnius;3121-4683;N/A;21 days ago
Python Developer (for AI Agent);CyberCare;Vilnius;3000-4300;N/A;21 days ago
Solution Delivery Engineer (Digital Payment & Banking Solutions);UAB Walletto;Vilnius;From 3500;N/A;22 days ago
Application Management Support Specialist;UAB „COWI Lietuva“;Vilnius;2600-3500;N/A;22 days ago
BI DEVELOPER;UAB Emplonet;Vilnius;3500-5000;N/A;22 days ago
IT administratorius (-ė) (Vilniaus oro uostas);UAB „LITCARGUS“;Vilnius;From 2200;N/A;22 days ago
DUOMENŲ ANALITIKAS (-Ė);UAB „DPD Lietuva“;Vilnius;2200-2850;N/A;22 days ago
RPA Business Analyst;Shift4 Payments Lithuania UAB;Vilnius;2200-3200;N/A;22 days ago
IT SPECIALISTAS (-Ė) („hardware“ ir „software“);UAB „Kodema“;Kaunas;1300-1400;N/A;22 days ago
Pardavimų vadovas (-ė);UAB „ETANETAS“;Šalčininkai;From 1500;N/A;22 days ago
Paid Internship in Aircraft Engineering (CAMO);UAB „Airhub Aviation“;Vilnius;From 1038;Junior;22 days ago
IT PROJEKTŲ VADOVAS (-Ė);UAB „Kosmelita“;Kaunas;From 2400;N/A;22 days ago
IT onsite inžinierius (-ė) Panevėžyje;UAB „BTT Group“;Panevėžys;900-1600;N/A;22 days ago
Vyresnysis veiklos analitikas (-ė);Lietuvos Respublikos ryšių reguliavimo tarnyba;Vilnius;3035-3392;N/A;22 days ago
Gamybinių sistemų IT specialistas;AB „Kauno grūdai“;Kaunas;1100-1300;N/A;7 days left
Robotikos inžinierius (-ė);TMV Capital įmonių grupė;Vilnius;2800-3600;N/A;7 days left
.NET Intern;UAB „GODEL TECHNOLOGIES EUROPE“;Vilnius;Up to 237;Junior;23 days ago
Automation QA intern;UAB „GODEL TECHNOLOGIES EUROPE“;Vilnius;From 237;Junior;23 days ago
Head of Loyalty;UAB „Kesko Senukai Digital“;Vilnius;3512-3723;Senior;7 days left
VYR. SISTEMŲ ARCHITEKTAS (-Ė);Registrų Centras, VĮ;Vilnius;3520-5280;N/A;7 days left
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė);OIXIO, UAB;Vilnius;3000-3700;N/A;7 days left
IT LICENSE ADMINISTRATOR (F/M/D);Ignitis grupė;Vilnius;2379-3568;N/A;6 days left
Senior .NET programuotojas (-a);UAB „Diagnostikos laboratorija“;Vilnius;4130-4600;Senior;7 days left
SENIOR BUSINESS SYSTEMS ANALYST SAP;UAB „Hollister Lietuva“;Kaunas;3500-5000;Senior;7 days left
Internal Auditor;Paysera;Vilnius;2500-4000;Junior;7 days left
PHP Developer (Mid level);UAB „Kesko Senukai Digital“;Vilnius;3795-4200;Mid;7 days left
DevOps Engineer (Mid/Senior Infrastructure, Automation & System Reliability);„Grafton Lithuania“, UAB;Vilnius;4960-6612;Senior;6 days left
QA Engineer – Frontend Automation Specialist;UAB PLC Group;Vilnius;2000-3500;N/A;6 days left
Technical Care Engineer;UAB „Gurtam“;Vilnius;1200-1400;N/A;6 days left
Informacijos saugos vadovas (-ė) (CISO);Modus Group;Vilnius;4000-7500;N/A;6 days left
Serverių priežiūros inžinierius (-ė);UAB „INFORMACINĖS SISTEMOS IR TECHNOLOGIJOS“;Šiauliai;2500-4000;N/A;6 days left
Back-End Engineer;UAB „Medical Score“;Vilnius;3000-4900;N/A;6 days left
Pre-Launch Specialist;Shift4 Payments Lithuania UAB;Vilnius;From 1950;N/A;6 days left
ELEKTRONIKOS PROGRAMUOTOJAS (-A);UAB „Simna“;Vilnius;2500-5000;N/A;6 days left
REACT NATIVE DEVELOPER • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;3467-6067;N/A;6 days left
Software Engineer;UAB „GetJet Airlines“;Vilnius;2500-5000;N/A;6 days left
Senior DevOps Engineer (Scraping team);Oxylabs;Vilnius;5800-7400;Senior;6 days left
.NET DEVELOPER;UAB Emplonet;Kaunas;4500-6000;N/A;5 days left
LEAD JAVA DEVELOPER (F/M/D);Ignitis grupė;Vilnius;4247-6370;Senior;5 days left
Engineering Manager (Scraping Squad);Oxylabs;Vilnius;5000-6750;N/A;5 days left
Citco Vilnius Internship Program Spring/Summer 2025 - CoSec Department (Corporate Team);Citco Group of Companies;Vilnius;1038;Junior;N/A
Junior Systems Engineer;UAB „Lošimų strateginė grupė“;Vilnius;1835-2395;Junior;N/A
DevOps Engineer;UAB „Medical Score“;Vilnius;3500-4800;N/A;N/A
IT Business Analyst;UAB „GetJet Airlines“;Vilnius;2800-4130;N/A;N/A
Linux sistemų administratorius (-ė);UAB „Novian Technologies“;Vilnius;2455-3306;N/A;N/A
Senior JAVA programuotojas (-a);Company name is hidden;Work from home;6000-6600;Senior;N/A
ANDROID programuotojas (-a);Company name is hidden;Work from home;4300-5500;N/A;N/A
Mid JAVA programuotojas (-a);Company name is hidden;Work from home;4300-5500;Mid;N/A
Quality Assurance Engineer;UAB „Medical Score“;Vilnius;2000-3500;N/A;N/A
IT SPECIALISTAS (-Ė) KLAIPĖDOJE;UAB „Gitana“;Klaipėda;900-1500;N/A;N/A
IT projektų vadovas (-ė);UAB Urbo bankas;Vilnius;2100-3300;N/A;N/A
IT vadovas (-ė);Company name is hidden;Vilnius;4600;N/A;N/A
Software Engineer (Java);UAB „Cognizant Technology Solutions Lithuania“;Vilnius;3240-3810;N/A;N/A
JUNIOR ORACLE DEVELOPER (F/M/D);Ignitis grupė;Vilnius;2532-3800;Junior;N/A
IT Support Specialist;UAB „Continental Automotive Lithuania“;Kaunas;1819-2450;N/A;N/A
PRAKTIKANTAS (-Ė) IT PASLAUGŲ VALDYMO SRITYJE;Registrų Centras, VĮ;Vilnius;N/A;N/A;N/A
Business Analyst;UAB „FL Technics“;Vilnius;2500-3500;N/A;N/A
Apsaugos sistemų technikas (-ė);UAB koncernas „Achemos grupė“;Jonava;1500-1700;N/A;N/A
AUTOMATION ENGINEER;UAB „Emploera“;Vilnius;3500;N/A;N/A
JAUN. IT PROJEKTŲ VADOVAS (-Ė);UAB „Magnus IC“ (PrestaRock);Kaunas;900-1800;N/A;N/A
IT SISTEMŲ TESTUOTOJAS (-A);UAB „Magnus IC“ (PrestaRock);Kaunas;900-1700;N/A;N/A
Oracle ADF Engineer;UAB „Sapiens Lithuania“;Vilnius;4500-6000;N/A;N/A
Lead Software Engineer & Team Lead (PHP);UAB „NFQ Technologies“;Vilnius;4920-7380;Senior;N/A
PRAKTIKANTAS (-Ė) (PROCESŲ IR VEIKLOS VALDYMO SRITYJE);Registrų Centras, VĮ;Vilnius;N/A;N/A;N/A
IT ADMINISTRATORIUS;UAB „Gudobelė“;Kaišiadorys;2000-3000;N/A;N/A
Kibernetinio saugumo patarėjas (-a);BĮ „Nacionalinis bendrųjų funkcijų centras“;Vilnius;2230-2900;N/A;N/A
Senior Software Engineer and Team Lead;UAB „Cognizant Technology Solutions Lithuania“;Kaunas;4950-8250;Senior;N/A
Software Architect and Team Lead;UAB „Cognizant Technology Solutions Lithuania“;Kaunas;4950-8250;Senior;N/A
Verslo atitikties projektų vadovas (-ė) (Tarptautinė teisė, mokesčiai, migracija);Talentgraph;Klaipėda;2000-2200;N/A;N/A
Senior PHP Developer;UAB „Indigroup“;Vilnius;5000-6000;Senior;N/A
SDL2 Onsite IT inžinierius (-ė);ATEA grupė;Vilnius;1250-2750;N/A;N/A
IEŠKOME MID BACK-END PROGRAMUOTOJO (-OS);UAB Emplonet;Vilnius;3500-5300;Mid;N/A
DevOps Engineer;UAB „Sapiens Lithuania“;Vilnius;3500-4800;N/A;N/A
HEAD OF INTEGRATIONS (F/M/D);Ignitis grupė;Vilnius;4247-6370;Senior;N/A
Data Scientist;Avion Express;Vilnius;4000-6612;N/A;N/A
IT administratorius (-ė);TMV Capital įmonių grupė;Kaunas;2000-2400;N/A;N/A
Python programuotojas darbui su DI sprendimais;UAB „CC Learning“;Work from home;2000-3500;N/A;N/A
Vyr. ERP programuotojas (-a);TMV Capital įmonių grupė;Kaunas;3100-3700;N/A;N/A
VEIKLOS ANALITIKAS (-Ė) (Gyventojų registras);Registrų Centras, VĮ;Vilnius;2175-3262;N/A;N/A
Mid Quality Assurance Engineer;UAB „StrongPoint“;Vilnius;2630-3945;Mid;N/A
DevOps Engineer;UAB „TV ŽAIDIMAI“;Vilnius;4542-6728;N/A;N/A
POWER PLATFORM DEVELOPER (F/M/D);Ignitis grupė;Vilnius;3121-4683;N/A;N/A
Aerospace Engineer / Aircraft Cabin Engineer;UAB „J&C Aero“;Vilnius;1400-2200;N/A;N/A
IT Service Delivery Manager;Inchcape Lithuania;Vilnius;5000-5500;N/A;N/A
