Title;Company;Location;Salary;Seniority;Published
IT konsultantas (-ė);EVRC, UAB;Vilnius;1600-2000;N/A;6 days ago
INFORMACINIŲ TECHNOLOGIJŲ IR SKAITMENIZACIJOS VADOVAS (-Ė);UAB Emplonet;Vilnius;5300-5500;N/A;6 days ago
Kūrybos projektų vadovas (-ė);UAB „EVO MEDIA“;Vilnius;From 1500;N/A;6 days ago
Verslo sistemų analitikas (-ė);TMV Capital įmonių grupė;Kaunas;2000-2500;N/A;6 days ago
SOC analitikas (-ė);Nacionalinis kibernetinio saugumo centras prie KAM;Vilnius;2200-4800;N/A;6 days ago
Network Security administrator (Group level);RETAL GROUP;Vilnius;3306-4133;N/A;6 days ago
QA ENGINEER [Hybrid];IPRoyal Services FZE LLC;Work from home;2000-4000;N/A;6 days ago
IT in-store Retail Solutions Specialist, Spaudos g. 6-1, Vilnius;UAB „RIMI LIETUVA“;Vilnius;2360-2950;N/A;6 days ago
Back-End Developer;AAS „BTA Baltic Insurance Company“ filialas Lietuvoje;Vilnius;3200-3500;N/A;6 days ago
Full Stack Engineer;AB „LIETUVOS DRAUDIMAS“;Vilnius;3500-4200;N/A;6 days ago
PRODUCT MANAGER;Company name is hidden;Work from home;2500-6000;N/A;7 days ago
Kompiuterių sistemų inžinierius (-ė);Nacionalinis kibernetinio saugumo centras prie KAM;Kaunas;2100-3470;N/A;7 days ago
Verslo analitikų grupės komandos vadovas (-ė);ADB „Compensa Vienna Insurance Group“;Vilnius;3500-5000;N/A;7 days ago
KOMPIUTERIŲ TECHNIKAS (-Ė) - KLIENTŲ APTARNAVIMO SPECIALISTAS (-Ė);UAB „IT DARBAI“;Vilnius;800-1100;N/A;7 days ago
Business Development Project Manager;EVERWEST, UAB;Vilnius;3290-4110;N/A;7 days ago
Team Lead - Treasury Services;UAB „Outokumpu Stainless“;Vilnius;3500-4500;Senior;7 days ago
Business Developer;COCA-COLA HBC LIETUVA, UA;Kaunas;2650;N/A;7 days ago
Mezgimo mašinų programuotojas (-a);UAB „Garlita“;Kaunas;1400-2000;N/A;7 days ago
ML inžinierius (-ė);UAB „Novian pro“;Vilnius;4000-7000;N/A;7 days ago
DATA ENGINEER (F/M/D);Ignitis grupė;Vilnius;3121-4683;N/A;4 days left
OPERATIONAL TECHNOLOGY SYSTEM ADMINISTRATOR (OTSA) (F/M/D) | IGNITIS RENEWABLES;Ignitis grupė;Vilnius;N/A;N/A;7 days ago
Full - Stack Developer;UAB „FL Technics“;Vilnius;3400-4000;N/A;6 days left
Full Stack Developer / Programuotojas;MB „Bartus IT Solutions“;Vilnius;3000-3800;N/A;8 days ago
IT SISTEMŲ SPECIALISTAS (-Ė);UAB Emplonet;Vilnius;1500-1700;N/A;8 days ago
Support Operations Analyst (Night Shift);UAB „Cyan Blue Odds 2 LT“;Vilnius;1917-2083;N/A;8 days ago
IT sistemų administratorius (-ė) Babtuose;UAB „Agrokoncernas“;Kaunas;2800-4000;N/A;8 days ago
VERSLO PROCESŲ ANALITIKAS (-Ė);KIKA LT, UAB;Kaunas;From 3306;N/A;8 days ago
Site Engineer - Role in a Large-Scale Renewable Energy Project;„Grafton Lithuania“, UAB;Mažeikiai;2360-3300;N/A;8 days ago
Live-in Carer Jobs in Ireland 2,070 - 3,134 euro/month. Make 2025 a Great Year for You!;Affordable Live-in Homecare;Ireland;2070-3134;N/A;8 days ago
PYTHON PROGRAMUOTOJAS (-A);Company name is hidden;Kaunas;900-2500;N/A;8 days ago
IT Inžinierius (-ė) (SDL2 remote);ATEA grupė;Kaunas;1000-1800;N/A;8 days ago
WAREHOUSE TEAM LEAD;UAB „Aros Marine“;France;3000-3500;Senior;8 days ago
IT inžinierius (-ė) Klaipėdoje;UAB „Novian Technologies“;Klaipėda;1478-1872;N/A;8 days ago
Programuotojas kibernetinio saugumo tyrimų srityje;Nacionalinis kibernetinio saugumo centras prie KAM;Kaunas;2450-4132;N/A;8 days ago
ABAP Developer;ERGO;Vilnius;3000-3600;N/A;6 days left
IT Technical Specialist;Telia;Šiauliai;1480-2220;N/A;8 days ago
Senior IT Support Specialist;AB „Volfas Engelman“;Kaunas;3000;Senior;8 days ago
Junior Python Developer – Intelligent Automation;Citco Group of Companies;Vilnius;1700-2000;Junior;8 days ago
Cyber Security Consultant;EY;Vilnius;2000-2700;N/A;8 days ago
DATA ENGINEER (F/M/D);Ignitis grupė;Vilnius;3121-4683;N/A;N/A
A320 First Officer;UAB „GetJet Airlines“;Vilnius;N/A;N/A;8 days ago
A320 Captain;UAB „GetJet Airlines“;Vilnius;N/A;N/A;8 days ago
SAP SD/MM Retail Expert, Spaudos g. 6-1, Vilnius;UAB „RIMI LIETUVA“;Vilnius;4400-5000;N/A;8 days ago
IT Site Support Engineer;UAB „Viltechmeda“;Vilnius;3000-3800;N/A;9 days ago
Vyr. BI analitikas (-ė);TMV Capital įmonių grupė;Kaunas;2000-3000;N/A;9 days ago
IT Support Engineer;UAB „TV ŽAIDIMAI“;Vilnius;2149-3306;N/A;9 days ago
Junior Business Support Analyst;Citco Group of Companies;Vilnius;1300-1600;Junior;9 days ago
Odoo sprendimų programuotojas;UAB „Via Laurea“;Klaipėda;2800-3800;N/A;9 days ago
IS kokybės inžinierius (-ė);Lietuvos centrinė kredito unija;Kaunas;1650-2900;N/A;9 days ago
KLIENTŲ APTARNAVIMO GRUPĖS VADOVAS (-Ė);UAB „Duomenų logistikos centras“;Vilnius;2800-3500;N/A;9 days ago
Jaunesnysis .NET programuotojas;UAB „Universalios valdymo sistemos“;Vilnius;1400-2500;N/A;9 days ago
Projektų vadybininkas (-ė) (IT skyrius);UAB „Jakobsen Home Co“;Alytus;1500-2800;N/A;9 days ago
SISTEMŲ TESTUOTOJAS (-A);ATEA grupė;Kaunas;900-1000;N/A;9 days ago
Software Engineer;BIGBANK AS filialas;Vilnius;3700-4500;N/A;9 days ago
Full-Stack Engineer;UAB „Medical Score“;Vilnius;3500-6500;N/A;9 days ago
