Title;Company;Location;Salary;Seniority;Published;Skills
MID MOBILE NETWORK SOFTWARE ENGINEER • NETWORKING SOLUTIONS;„Teltonikos“ įmonių grupė;Kaunas;3467-5200;Mid;10 days ago;python, go, less, ai, git, linux, networking
Programinės įrangos inžinierius (-ė) (.NET ir C#);UAB „Viltechmeda“;Vilnius;3000-3900;N/A;10 days ago;c#, go, sql, ai
Administratorius (-ė), Vadovo asistentas (-ė) augančioje IT įmonėje.;UAB „Optimalūs projektai“;Kaunas;From 1500;N/A;10 days ago;go, ai
IT LICENSE ADMINISTRATOR (F/M/D);Ignitis grupė;Vilnius;2379-3568;N/A;10 days ago;go, terraform, ansible, ai
Training Manager;UAB „People Link“;Kaunas;4000-5000;N/A;10 days ago;go, ai
PROGRAMUOTOJAS (-Ė) | PHP, JAVA, JavaScript;UAB „Optimalūs projektai“;Kaunas;From 1700;N/A;10 days ago;java, javascript, php, go, sql, mysql, postgresql, ai, git
Lead Software Engineer (PHP);UAB „NFQ Technologies“;Vilnius;4500-7500;Senior;10 days ago;c#, php, go, sql, nosql, postgresql, redis, docker, kubernetes, ai, data science, agile, kafka
Pardavimų palaikymo skyriaus asistentas (-ė) Kaune;AB „LIETUVOS DRAUDIMAS“;Kaunas;934;N/A;10 days ago;go, ai
C# .NET programuotoja (-s);UAB „Midpoint systems“;Vilnius;From 3300;N/A;10 days ago;c#, sql, postgresql, docker, kubernetes, ai, git, rest api, tcp/ip
Paid Internship in Aircraft Engineering (CAMO);UAB „Airhub Aviation“;Vilnius;From 1038;Junior;12 days ago;ai
UAV autonominių sistemų programuotojas;Mitaro, UAB;Kaunas;From 2000;N/A;12 days ago;python, c++, go, ai, tensorflow, pytorch
UAV programuotojas;Mitaro, UAB;Kaunas;From 2000;N/A;12 days ago;c++, go, ai
Senior Systems Analyst, Oracle Fusion;UAB „STRATEGIC STAFFING SOLUTIONS INTERNATIONAL“;Vilnius;3000-5000;Senior;12 days ago;ai
Cyber Security Engineer;Paysera;Work from home;2500-3700;N/A;12 days ago;python, express, ai, cybersecurity
FULL-STACK PROGRAMUOTOJAS (-A);Talent Lab;Vilnius;2500-3500;N/A;12 days ago;java, javascript, php, go, redis, html, css, react, vue, docker, ai, git
DUOMENŲ ANALITINIŲ PRODUKTŲ GRUPĖS VADOVAS (-Ė);Registrų Centras, VĮ;Vilnius;3161-4741;N/A;N/A;go, ai
IT ADMINISTRATORIUS/-Ė_KĖDAINIUOSE_(J. Basanavičiaus g. 95);Vikonda grupė, UAB;Kėdainiai;2300-2680;N/A;12 days ago;go, azure, ai, vpn
IT ADMINISTRATORIUS (-Ė) KAUNE;Vikonda grupė, UAB;Kaunas;2300-2680;N/A;12 days ago;go, azure, ai, vpn
IT projektų vadovas (-ė);AB Vakarų laivų gamykla;Klaipėda;1800-2500;N/A;12 days ago;go, ai
IT Project Manager;UAB „People Link“;Kaunas;4000-5000;N/A;13 days ago;go, ai, agile
CAD Documentation and Support Specialist;UAB „FESTO“;Kaunas;1600;N/A;13 days ago;go, ai
Tech Programme: Junior Full-Stack Developer | SEB, Vilnius;SEB;Vilnius;2300;Junior;13 days ago;java, javascript, angular, ai, git, github, agile, rest api, networking
SISTEMŲ ADMINISTRATORIUS (-Ė) (KDV PRIEŽIŪRAI);Registrų Centras, VĮ;Vilnius;1789-2683;N/A;13 days ago;go, ai
Senior Manager Wholesale Lithuania;UAB „Circle K Lietuva“;Vilnius;4200-5000;Senior;13 days ago;go, ai
SENIOR BUSINESS SYSTEMS ANALYST SAP;UAB „Hollister Lietuva“;Kaunas;3500-5000;Senior;13 days ago;ai
PHP Developer (Mid level);UAB „Kesko Senukai Digital“;Vilnius;3795-4200;Mid;13 days ago;php, go, sql, mysql, postgresql, docker, kubernetes, ai, devops, ci/cd, git, rest api
Mid-Level PHP Developer;UAB „Kesko Senukai Digital“;Vilnius;3795-4500;Mid;13 days ago;php, go, sql, mysql, postgresql, docker, kubernetes, ai, devops, ci/cd, git, rest api
Head of Loyalty;UAB „Kesko Senukai Digital“;Vilnius;3512-3723;Senior;13 days ago;go, less, ai, git
Product Manager, Credit and Collections – Vilnius, Lithuania;Western Union Lithuania ~ European Regional Operations Center;Vilnius;4033-7725;N/A;N/A;go, less, aws, ai, git, agile, scrum
Software Engineer;UAB „GetJet Airlines“;Vilnius;2500-5000;N/A;14 days ago;php, ai, git
Full-stack programuotojas GovTech sprendimų kūrimui;UAB „Dizaino kryptis“;Vilnius;3000-4800;N/A;14 days ago;java, c++, php, go, sql, angular, docker, ai, git, linux
GovTech projektų vadovas (-ė);UAB „Dizaino kryptis“;Vilnius;2900-5700;N/A;14 days ago;go, ai, agile, scrum
GovTech sistemų analitikė (-as);UAB „Dizaino kryptis“;Vilnius;2700-3900;N/A;14 days ago;go, ai
Informacinių sistemų valdymo koordinatorius (-ė);UAB „Erudito licėjus“;Vilnius;From 2700;N/A;14 days ago;ai
Mid - Senior PHP / Laravel programuotojas (-a);Kelių sistemos, UAB;Vilnius;2000-3500;Senior;14 days ago;ai
SAP Development Trainee;EPAM sistemos, UAB;Vilnius;N/A;Junior;14 days ago;go, sql, ai
Kibernetinio saugumo patarėjas (-a);BĮ „Nacionalinis bendrųjų funkcijų centras“;Vilnius;2230-2900;N/A;14 days ago;go, ai
MID/SENIOR WEB DEVELOPER (FULL STACK) • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;3467-6067;Senior;14 days ago;java, javascript, go, sql, nosql, mongodb, react, node.js, express, ai, ci/cd, git, gitlab, agile, scrum
JUNIOR MANUFACTURING TEST SOFTWARE ENGINEER • NETWORKING SOLUTIONS;„Teltonikos“ įmonių grupė;Kaunas;2080-3120;Junior;14 days ago;c#, sql, ai, git, linux, networking
IT administratorius (-ė);ECOSERVICE grupė;Vilnius;1250-1500;N/A;14 days ago;go, ai
Informacinių technologijų centro sistemų administratorius (-ė);Vytauto Didžiojo universitetas;Kaunas;1600-1800;N/A;14 days ago;go, sql, ai, linux, windows server, dns, vpn
ELEKTRONIKOS PROGRAMUOTOJAS (-A);UAB „Simna“;Vilnius;2500-5000;N/A;14 days ago;ai
Business Analyst (SME) Compliance & AML;Paysera;Vilnius;3000-4000;N/A;14 days ago;go, ai
.NET DEVELOPER;UAB Emplonet;Kaunas;4500-6000;N/A;14 days ago;c#, sql, docker, azure, ai, devops, git, agile, scrum
Informacinių ir ryšių technologijų saugumo specialistas(-ė) (TEMPEST skyriuje);Nacionalinis kibernetinio saugumo centras prie KAM;Vilnius;2200-4000;N/A;15 days ago;go, ai
PRODUCT OWNER;UAB Emplonet;Kaunas;3500-5000;N/A;15 days ago;go, less, ai, data science, git
Head of IT Operations;UAB „FL Technics“;Vilnius;From 4000;Senior;15 days ago;go, less, ai
Junior Data Scientist – Pricing & Advanced Analytics;AB „LIETUVOS DRAUDIMAS“;Vilnius;2200-3000;Junior;15 days ago;python, sql, less, machine learning, ai, data science
Full Stack Engineer;UAB „STRATOSFERA“;Vilnius;3300-4845;N/A;15 days ago;sql, postgresql, react, node.js, ai
LEAD JAVA DEVELOPER (F/M/D);Ignitis grupė;Vilnius;4247-6370;Senior;N/A;java, go, sql, postgresql, spring, docker, ansible, ai, git, gitlab, agile, rest api, soap
SISTEMŲ ANALITIKAS (-Ė);ATEA grupė;Kaunas;1000-2000;N/A;15 days ago;ai
SISTEMŲ ANALITIKAS (-Ė);ATEA grupė;Vilnius;1000-2000;N/A;15 days ago;ai
Senior Symfony Developer;UAB „Eany“;Vilnius;4800-6800;Senior;15 days ago;java, javascript, php, sql, mysql, html, css, docker, kubernetes, ai, ci/cd, git, agile, scrum
Software Engineer (Java);UAB „Cognizant Technology Solutions Lithuania“;Vilnius;3240-3810;N/A;15 days ago;java, go, sql, express, spring, docker, kubernetes, aws, azure, ai, devops, ci/cd, jenkins, git, github, agile, soap
Ieškome naujo inžinierių komandos nario į Klientų aptarnavimo skyriaus IS palaikymo grupę!;UAB „UCS BALTIC“;Vilnius;900-1200;N/A;15 days ago;ai
Senior Ruby on Rails Engineer;UAB „Decentralized“;Vilnius;5000-8000;Senior;16 days ago;ruby, go, sql, mysql, postgresql, less, docker, kubernetes, aws, gcp, terraform, ai, devops, ci/cd, git, github, agile, graphql
Projektų vadovas (-ė);UAB „SneakyBox“;Kaunas;2300-3000;N/A;16 days ago;go, ai, agile
Programavimo komandos vadovas (-ė) (Software Engineering manager);ID Vilnius;Vilnius;5207-6364;N/A;16 days ago;java, javascript, go, react, node.js, kubernetes, azure, ai, agile, scrum, kanban
IT inžinierius;UAB „Limeta“;Vilnius;3500;N/A;16 days ago;go, ai
Back - End Engineer;UAB „Medical Score“;Vilnius;3000-4900;N/A;16 days ago;php, go, sql, mysql, postgresql, docker, kubernetes, aws, azure, ai, devops, ci/cd, git
Front - End Engineer;UAB „Medical Score“;Vilnius;2800-4000;N/A;16 days ago;java, javascript, go, html, css, react, vue, ai, graphql
React Native Developer;UAB „Medical Score“;Vilnius;2800-4000;N/A;16 days ago;go, less, react, ai, ci/cd
Full - Stack Engineer;UAB „Medical Score“;Vilnius;3500-6500;N/A;16 days ago;java, javascript, php, go, sql, nosql, mysql, postgresql, html, css, react, vue, node.js, docker, kubernetes, aws, azure, ai, devops, ci/cd, graphql
IS PLĖTROS SKYRIAUS PATARĖJAS (-A);UAB Emplonet;Vilnius;2708-4062;N/A;16 days ago;sql, postgresql, ai
Embedded Software Engineer (C++);UAB „QDev Technologies“;Vilnius;4600-6000;N/A;16 days ago;c++, go, less, ai, agile, linux
DevOps Engineer;UAB „Sapiens Lithuania“;Vilnius;3500-4800;N/A;16 days ago;go, docker, kubernetes, ai, devops, ci/cd, jenkins, git, linux
Oracle ADF Engineer;UAB „Sapiens Lithuania“;Vilnius;4500-6000;N/A;16 days ago;java, javascript, go, sql, html, css, react, ai, agile, scrum, rest api
Jaunesnysis (-ioji) Sistemų Administratorius (-ė);Telia;Šiauliai;1900-2400;N/A;16 days ago;go, ansible, ai
IT paslaugas teikiančios įmonės vadovas (-ė);UAB „Personalo valdymo inovacijos“;Vilnius;8265-10744;N/A;16 days ago;go, ai
Mid JAVA programuotojas (-a);Company name is hidden;Work from home;4300-5500;Mid;16 days ago;java, go, html, css, react, spring, ai
ANDROID programuotojas (-a);Company name is hidden;Work from home;4300-5500;N/A;16 days ago;ai, rest api
Senior JAVA programuotojas (-a);Company name is hidden;Work from home;6000-6600;Senior;16 days ago;java, go, html, css, react, spring, ai
Quality Assurance Engineer;UAB „Medical Score“;Vilnius;2000-3500;N/A;16 days ago;go, sql, ai, agile
IT inžinierius (-ė) - IT specialistas (-ė) (I ir II lygiai);UAB „Data Bank Group“;Kaunas;1300-2500;N/A;17 days ago;go, ai, tcp/ip, dns
Full-Stack Java Developer;UAB „Indigroup“;Vilnius;3500-5899;N/A;17 days ago;java, go, sql, nosql, angular, spring, docker, kubernetes, ai, git, agile, scrum, kanban, rest api
Senior PHP Developer;UAB „Indigroup“;Vilnius;5000-6000;Senior;17 days ago;php, go, sql, redis, less, vue, docker, ai, git, unix
Mid Quality Assurance Engineer;UAB „StrongPoint“;Vilnius;2630-3945;Mid;17 days ago;go, less, ai
Aerospace Engineer / Aircraft Cabin Engineer;UAB „J&C Aero“;Vilnius;1400-2200;N/A;17 days ago;go, ai
Laravel Developer;Paysera;Vilnius;2000-4000;N/A;17 days ago;java, javascript, go, sql, mysql, html, css, less, react, vue, ai, git, agile
MyBee Sales Manager (Mid-Senior);Modus Group;Vilnius;2200-3300;Senior;17 days ago;go, ai, git
IT Business Analyst;UAB „GetJet Airlines“;Vilnius;2800-4130;N/A;17 days ago;less, ai, agile, scrum, rest api
Kokybės ir Atitikties Vadovas / Quality and Compliance Manager;Telia;Vilnius;2900-4200;N/A;7 days left;go, ai
Business Analyst;UAB „FL Technics“;Vilnius;2500-3500;N/A;18 days ago;go, azure, ai, git, agile
Data Scientist;Telia;Vilnius;3400-4800;N/A;7 days left;python, sql, machine learning, ai, data science, spark
HEAD OF INTEGRATIONS (F/M/D);Ignitis grupė;Vilnius;4247-6370;Senior;19 days ago;java, go, spring, ai, ci/cd, git, gitlab, agile, scrum, kanban
Lead Software Engineer & Team Lead (PHP);UAB „NFQ Technologies“;Vilnius;4920-7380;Senior;19 days ago;php, go, redis, less, react, vue, ai, devops, ci/cd
Junior SAP Basis Administrator;Telia;Vilnius;1900-2900;Junior;N/A;ai, linux
Mid/Senior .NET Software Engineer (Vilnius or Kaunas);„Grafton Lithuania“, UAB;Vilnius;4000-5000;Senior;19 days ago;java, javascript, c#, go, sql, html, css, express, ai
Site Reliability & DevOps Engineer (Mid/Senior);„Grafton Lithuania“, UAB;Vilnius;4960-6612;Senior;19 days ago;python, ruby, go, sql, mysql, postgresql, mongodb, redis, express, docker, kubernetes, aws, ai, cybersecurity, devops, ci/cd, jenkins, linux
Brand development manager (green energy);ACME įmonių grupė;Kaunas;3960;N/A;19 days ago;go, ai
Junior .NET Software Engineer;UAB „Adform Lithuania“;Vilnius;From 2350;Junior;19 days ago;sql, ai, git, agile, kafka
Junior Systems Engineer;UAB „Lošimų strateginė grupė“;Vilnius;1835-2395;Junior;19 days ago;go, devops
Employer Brand Team Lead;UAB „Gurtam“;Vilnius;4000-4500;Senior;19 days ago;go, ai, git
MID DEVOPS ENGINEER • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;4680-5547;Mid;20 days ago;python, go, sql, mysql, redis, docker, kubernetes, aws, azure, gcp, ai, devops, git, gitlab, linux, tcp/ip
Buhalterinės apskaitos programų IT specialistą (-ę);AB „Rokiškio sūris“;Utena;1500-2500;N/A;20 days ago;go, ai
IT PROJEKTŲ VADOVAS (-Ė);Atranka360;Vilnius;4463;N/A;20 days ago;ai, agile
Business Process Analyst;UAB „Kesko Senukai Digital“;Vilnius;From 3500;N/A;20 days ago;go, ai, git, agile
Full Stack Engineer;UAB „People Link“;Vilnius;4400-4900;N/A;20 days ago;java, javascript, php, go, less, ai
Vyr. ERP programuotojas (-a);TMV Capital įmonių grupė;Kaunas;3100-3700;N/A;20 days ago;go, ai, agile
IT sistemų administratoriaus;UAB „J&C Aero“;Vilnius;3300-4500;N/A;20 days ago;ai, linux
Sistemų administratorius (-ė);ATEA grupė;Kaunas;1300-1700;N/A;20 days ago;go, sql, aws, azure, ai, linux, windows server, dns
Software Engineer (Java);UAB „NFQ Technologies“;Vilnius;2500-4640;N/A;20 days ago;java, kotlin, less, ai
Technical Support Engineer;Elinta Charge, UAB;Kaunas;1900-2299;N/A;20 days ago;go, ai, tcp/ip
Senior embedded software developer;Elinta Charge, UAB;Kaunas;4000-5000;Senior;20 days ago;c++
Business Development Project Manager;EVERWEST, UAB;Vilnius;3290-4110;N/A;20 days ago;go, ai
IT Systems Administrator;Avion Express;Vilnius;3500-4100;N/A;20 days ago;express, azure, ai, agile, windows server, networking, tcp/ip, dns, vpn
IT INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis grupė;Vilnius;2379-3568;N/A;N/A;python, go, terraform, ansible, ai, linux, windows server, networking, dns
Senior Python Developer;UAB „Gurtam“;Vilnius;6000-7000;Senior;21 days ago;python, go, ai, big data
Odoo ERP Programmer (for contract);UAB „J&C Aero“;Vilnius;4800-6199;N/A;21 days ago;python, java, javascript, sql, postgresql, git
Odoo ERP Programuotojas (kontraktui);UAB „J&C Aero“;Vilnius;4800-6200;N/A;21 days ago;python, java, javascript, go, sql, postgresql, ai, git
CONTROL SOFTWARE DEVELOPER;UAB Emplonet;Kaunas;2500-5500;N/A;21 days ago;ai
JAUNESNYSIS IT SPECIALISTAS (-Ė);UAB „Penkių kontinentų komunikacijų centras“;Vilnius;1500-2000;N/A;21 days ago;go, ai
IT PROJEKTŲ VADOVAS (-Ė);Sanitex įmonių grupė;Kaunas;2900-4300;N/A;21 days ago;go, ai
AX/DYNAMICS VYSTYMO ANALITIKAS (-Ė);Sanitex įmonių grupė;Kaunas;1700-2200;N/A;21 days ago;go, ai
PHP programuotojas (-a);UAB „Agrokoncernas“;Kaunas;2400-3000;N/A;21 days ago;java, javascript, php, sql, mysql, react, ai, git, rest api
Priežiūros specialistas (-ė);ADB „Gjensidige“;Vilnius;1781-2671;N/A;22 days ago;go, ai
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė);OIXIO, UAB;Kaunas;3000-3700;N/A;22 days ago;ai
Internal Project Manager;UAB „NFQ Technologies“;Vilnius;2400-4000;Junior;22 days ago;go, less, ai, devops
TEAM LEAD OF IT SYSTEMS ANALYSIS;Ignitis grupė;Vilnius;3594-5390;Senior;7 days left;go, sql, ai
Procesų specialistas (-ė);Eglės sanatorija;Kaunas;2400-2900;N/A;7 days left;go, ai
IT produktų vadybininkas (-ė) (IT presales);ATEA grupė;Vilnius;1100-1800;N/A;7 days left;ai
Produktų vadovas (-ė) (Technical Presales);ATEA grupė;Vilnius;1500-2000;N/A;7 days left;go, ai
Duomenų perdavimo sprendimų produktų vadybininkas (-ė) (Technical Presales);ATEA grupė;Vilnius;1000-1500;N/A;7 days left;ai
ERP Analyst/Consultant;UAB „Honestus“;Work from home;From 4300;N/A;7 days left;ai
Kibernetinio saugumo specialistė (-as);UAB „Bitė Lietuva“;Vilnius;3000-4500;N/A;7 days left;go, ai, unix
VYR. PROGRAMUOTOJAS (-A) (JAVA);Registrų Centras, VĮ;Vilnius;2880-4320;N/A;7 days left;go, ai
VYR. PROGRAMUOTOJAS (-A) (.NET technologija);Registrų Centras, VĮ;Vilnius;2880-4320;N/A;7 days left;go, ai
Quality Analyst;„Cencora“;Vilnius;2068-2955;N/A;7 days left;go, less, ai
.NET PROGRAMUOTOJAS (-A);ATEA grupė;Kaunas;1500-2200;N/A;7 days left;c#, sql, ai
.NET PROGRAMUOTOJAS (-A);ATEA grupė;Vilnius;1500-2200;N/A;7 days left;c#, sql, ai
Business Development Project Manager (Central Asia);EVERWEST, UAB;Vilnius;3290-4110;N/A;7 days left;go, ai
IS PLĖTROS SKYRIAUS VADOVAS (-Ė);UAB Emplonet;Vilnius;3602-5900;N/A;7 days left;go, ai
B2B IT Projektų vadovas (-ė);UAB „Infotransport“;Vilnius;1500-3000;N/A;7 days left;go, ai, agile
IT inžinierius (-ė);UAB „PKC Group Lithuania“;Panevėžys;1900-2000;N/A;7 days left;python, go, sql, mysql, postgresql, ai
SISTEMŲ PALAIKYMO INŽINIERIUS;Įmonių grupė „Penki kontinentai“;Vilnius;1600-1900;N/A;7 days left;go, sql, postgresql, less, ai, linux
Java Developer;UAB „Bitė Lietuva“;Vilnius;2400-4500;N/A;7 days left;java, javascript, go, sql, mysql, react, spring, docker, kubernetes, ai, ci/cd, git, soap, kafka
Data-Engineer / ML-Engineer;„Grafton Lithuania“, UAB;Vilnius;3000-6800;N/A;6 days left;go, express, machine learning, ai, data science, ci/cd, agile
Workday Integration Specialist;InMedica grupė;Vilnius;1900-4000;N/A;N/A;go, ai, soap
INFORMACINIŲ TECHNOLOGIJŲ IR SKAITMENIZACIJOS VADOVAS (-Ė);UAB Emplonet;Vilnius;5300-5500;N/A;N/A;go, ai
Verslo sistemų analitikas (-ė);TMV Capital įmonių grupė;Kaunas;2000-2500;N/A;N/A;python, go, sql, azure, ai
QA ENGINEER [Hybrid];IPRoyal Services FZE LLC;Work from home;2000-4000;N/A;N/A;sql, ai, agile, networking
Back-End Developer;AAS „BTA Baltic Insurance Company“ filialas Lietuvoje;Vilnius;3200-3500;N/A;N/A;java, go, sql, ai, git, soap
Full Stack Engineer;AB „LIETUVOS DRAUDIMAS“;Vilnius;3500-4200;N/A;N/A;java, javascript, go, sql, less, react, node.js, spring, ai, ci/cd, git, gitlab, agile, scrum, rest api, soap
PRODUCT MANAGER;Company name is hidden;Work from home;2500-6000;N/A;N/A;go, less, ai, agile
Verslo analitikų grupės komandos vadovas (-ė);ADB „Compensa Vienna Insurance Group“;Vilnius;3500-5000;N/A;N/A;go, ai, agile, scrum
KOMPIUTERIŲ TECHNIKAS (-Ė) - KLIENTŲ APTARNAVIMO SPECIALISTAS (-Ė);UAB „IT DARBAI“;Vilnius;800-1100;N/A;N/A;go, ai
Business Development Project Manager;EVERWEST, UAB;Vilnius;3290-4110;N/A;N/A;go, ai
Mezgimo mašinų programuotojas (-a);UAB „Garlita“;Kaunas;1400-2000;N/A;N/A;ai
Full Stack Developer / Programuotojas;MB „Bartus IT Solutions“;Vilnius;3000-3800;N/A;N/A;java, javascript, php, go, sql, mysql, html, css, react, vue, node.js, docker, ai
IT SISTEMŲ SPECIALISTAS (-Ė);UAB Emplonet;Vilnius;1500-1700;N/A;N/A;go, ai, linux
Site Engineer - Role in a Large-Scale Renewable Energy Project;„Grafton Lithuania“, UAB;Mažeikiai;2360-3300;N/A;N/A;express, ai
Jobs for Live-In Carers in Ireland. Spend your Summer on the Emerald Isle!;Affordable Live-in Homecare;Ireland;2070-3134;N/A;N/A;go, ai
IT inžinierius (-ė) Klaipėdoje;UAB „Novian Technologies“;Klaipėda;1478-1872;N/A;N/A;go, ai
Programuotojas kibernetinio saugumo tyrimų srityje;Nacionalinis kibernetinio saugumo centras prie KAM;Kaunas;2450-4132;N/A;N/A;python, c++, go, ai, linux, tcp/ip, dns
IT Technical Specialist;Telia;Šiauliai;1480-2220;N/A;N/A;ai
Senior IT Support Specialist;AB „Volfas Engelman“;Kaunas;3000;Senior;N/A;go, ai
Junior Python Developer – Intelligent Automation;Citco Group of Companies;Vilnius;1700-2000;Junior;N/A;python, go, ai, git, scrum
Cyber Security Consultant;EY;Vilnius;2000-2700;N/A;N/A;go, ai, cybersecurity, git
A320 First Officer;UAB „GetJet Airlines“;Vilnius;N/A;N/A;N/A;ai
A320 Captain;UAB „GetJet Airlines“;Vilnius;N/A;N/A;N/A;ai
IT Site Support Engineer;UAB „Viltechmeda“;Vilnius;3000-3800;N/A;N/A;ai
Vyr. BI analitikas (-ė);TMV Capital įmonių grupė;Kaunas;2000-3000;N/A;N/A;go, sql, ai
Junior Business Support Analyst;Citco Group of Companies;Vilnius;1300-1600;Junior;N/A;go, react, ai
Odoo sprendimų programuotojas;UAB „Via Laurea“;Klaipėda;2800-3800;N/A;N/A;python, go, sql, postgresql, react, vue, docker, ai, git, rest api
IS kokybės inžinierius (-ė);Lietuvos centrinė kredito unija;Kaunas;1650-2900;N/A;N/A;sql, ai, git, gitlab
KLIENTŲ APTARNAVIMO GRUPĖS VADOVAS (-Ė);UAB DELSKA Lithuania;Vilnius;2800-3500;N/A;N/A;go, ai
Jaunesnysis .NET programuotojas;UAB „Universalios valdymo sistemos“;Vilnius;1400-2500;N/A;N/A;c#, go, sql, docker, ai, git
Projektų vadybininkas (-ė) (IT skyrius);UAB „Jakobsen Home Co“;Alytus;1500-2800;N/A;N/A;go, ai
Software Engineer;BIGBANK AS filialas;Vilnius;5400-6400;N/A;N/A;java, go, sql, postgresql, mongodb, vue, node.js, kubernetes, ai
Inžinierius - programuotojas;UAB „TSPI“;Kaunas;2400-3000;N/A;N/A;python, ai, git, networking, tcp/ip
Tech Architect;ERGO;Vilnius;4500-5500;N/A;N/A;java, php, go, ai
TINKLO ADMINISTRATORIUS (-Ė) (Galimybė reikšmingai prisidėti prie Lietuvos saugumo);PERSONALO AKADEMIJA;Vilnius;1700-2200;N/A;N/A;go, ai
Junior Systems Engineer;UAB „Airhub Aviation“;Vilnius;1500-2300;Junior;N/A;go, ai
Information Security Officer;Bankera;Vilnius;2500-4499;N/A;N/A;express, ai
Information Security Officer;Bankera;Kaunas;2500-4500;N/A;N/A;express, ai
Technical Operations Specialist;Bankera;Kaunas;1100-3000;N/A;N/A;go, express, ai, git, linux, vpn
PROGRAMINIŲ SISTEMŲ TESTUOTOJAS (-A);UAB „People Link“;Vilnius;2000-3000;N/A;N/A;go, ai
SALESFORCE ADMINISTRATOR;UAB Emplonet;Vilnius;2500-3500;N/A;N/A;java, javascript, ai, devops
Lead Cloud Engineer;UAB „NFQ Technologies“;Vilnius;4920-7380;Senior;N/A;java, php, go, less, docker, kubernetes, aws, azure, terraform, ai, devops, git, gitlab, agile, linux, unix, dns
AI Engineer;EY;Vilnius;2100-4000;N/A;N/A;python, go, aws, azure, gcp, machine learning, ai, pytorch
