Title;Company;Location;Salary;Seniority;Published;Skills
IT Network Specialist (all genders) with focus on firewall;DATAGROUP Operations Lithuania UAB;Kaunas;2000-5000;N/A;1 days ago;python, go, css, ansible, ai
IT Network System Engineer (all genders);DATAGROUP Operations Lithuania UAB;Kaunas;2000-5000;N/A;1 days ago;python, go, ansible, ai, tcp/ip, vpn
Python - Javascript programuotojas;UAB „Ortho Baltic“;Kaunas;3000-7000;N/A;1 days ago;python, c++, go, sql, mysql, postgresql, react, django, docker, ai, devops, ci/cd, git, agile
INTEGRACIJŲ INŽINERIJOS PLĖTROS VADOVĖ (-AS) (SCRUM MASTER);Ignitis grupė;Vilnius;N/A;N/A;1 days ago;go, ai, agile, scrum
ITSM Process Lead, Spaudos g. 6-1, Vilnius;UAB „RIMI LIETUVA“;Vilnius;2992-3500;Senior;1 days ago;go, ai, networking
Verslo valdymo sistemos (VVS) administratorius (-ė);UAB „Dextera“;Kaunas;1400-1600;N/A;2 days ago;python, php, go, ai
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis grupė;Vilnius;N/A;Senior;2 days ago;python, ruby, go, docker, kubernetes, azure, terraform, ansible, ai, ci/cd, git, github, gitlab, linux
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis grupė;Klaipėda;N/A;Senior;2 days ago;python, ruby, go, docker, kubernetes, azure, terraform, ansible, ai, ci/cd, git, github, gitlab, linux
Regional Change Manager;„Cencora“;Vilnius;3031-4330;N/A;2 days ago;go, ai
Dynamics 365 Business Central / Dotnet developer;Tenging;Vilnius;3000-6000;N/A;2 days ago;java, javascript, c#, ai
Client Support Specialist (Technical);Shift4 Payments Lithuania UAB;Vilnius;From 1575;N/A;2 days ago;ai
Duomenų tinklo administratorė (-ius);EPSO-G grupė;Vilnius;3300-4200;N/A;2 days ago;go, ai, vpn
Senior Customer Success Specialist;Skycop;Vilnius;1800-2400;Senior;2 days ago;ai
Tech Lead / Solution Architect in Mobile Team | SEB, Vilnius;SEB;Vilnius;4350-6550;Senior;2 days ago;java, go, kotlin, spring, docker, kubernetes, ai, ci/cd, agile
Full Stack Software Deveoper;UAB „COWI Lietuva“;Vilnius;4000-5500;N/A;2 days ago;java, javascript, c#, go, sql, redis, less, react, angular, docker, aws, ai, git
IT SISTEMŲ ADMINISTRATORIUS (-Ė);UAB „Komfovent“;Vilnius;3000-4000;N/A;2 days ago;go, sql, mysql, ai, linux, windows server
IT administratorius (-ė);VšĮ Lietuvos nacionalinis radijas ir televizija;Vilnius;2200-2700;N/A;2 days ago;go, ai
.NET Developer / Full-Stack (.NET + React.JS) (Vilnius or Kaunas);UAB „Daviva“;Vilnius;2500-4500;N/A;7 days left;c#, go, sql, mysql, less, react, ai, ci/cd, git, agile, rest api, soap
Full-stack web developer;UAB „Objectis“;Vilnius;3500-5000;N/A;2 days ago;java, javascript, php, go, sql, mysql, html, css, react, ai, git
PROGRAMINĖS ĮRANGOS INŽINIERIUS (-Ė);AB „Kauno energija“;Kaunas;3000-4000;N/A;2 days ago;go, sql, postgresql, docker, ai, devops, git, agile, rest api
IT Projektų vadovas (-ė);UAB „PRO BRO Group“;Vilnius;3000-3600;N/A;2 days ago;sql, ai
SENIOR INFRASTRUCTURE ADMINISTRATOR (F/M/D);Ignitis grupė;Kaunas;N/A;Senior;2 days ago;python, ruby, go, docker, kubernetes, azure, terraform, ansible, ai, ci/cd, git, github, gitlab, linux
Technical consultant (TIA);UAB „Sapiens Lithuania“;Vilnius;2900-4300;N/A;2 days ago;sql, agile
Head of Warehouse;UAB „Pigu“;Vilnius;4100-5700;Senior;2 days ago;go, ai
KOMPIUTERINIŲ TINKLŲ INŽINIERIUS (-Ė);UAB „Komfovent“;Vilnius;3000-4000;N/A;2 days ago;go, ai
Junior - Mid PHP programuotojas;UAB „Tiny Solutions“;Kaunas;1000-2000;Junior;2 days ago;php, go, sql, mysql, ai
PYTHON PROGRAMUOTOJAS (-A);Company name is hidden;Kaunas;900-2500;N/A;2 days ago;python, java, javascript, sql, ai, git, linux
IOT SOLUTIONS ENGINEER • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;1907-2600;N/A;2 days ago;go, ai, git, gitlab
MID, Go developer, software engineer;UAB „MR Digital Group“;Vilnius;From 3500;Mid;2 days ago;go, ai
